surah,ayah,start_s,end_s,source
90,1,7.52,15.36,aligned
90,2,15.6,21.76,aligned
90,3,22.96,25.36,aligned
90,4,25.84,31.68,aligned
90,5,32.16,37.68,aligned
90,6,38.24,43.12,aligned
90,7,43.52,49.28,aligned
90,8,49.84,56.08,aligned
90,9,57.2,62.48,aligned
90,10,63.52,67.04,aligned
90,11,67.36,70.48,aligned
90,12,72.24,76.24,aligned
90,13,76.56,78.56,aligned
90,14,78.8,86.56,aligned
90,15,87.76,90.88,aligned
90,16,91.28,97.04,aligned
90,17,98.48,112.56,aligned
90,18,112.88,117.44,aligned
90,19,117.68,128.56,aligned
90,20,128.72,133.875,aligned
