surah,ayah,word_index_in_ayah,text,start_s,end_s,confidence
101,1,1,ٱلۡقَارِعَةُ,7.6,8.56,
101,2,1,مَا,9.76,9.84,
101,2,2,ٱلۡقَارِعَةُ,10.24,11.2,
101,3,1,وَمَاۤ,12.32,12.4,
101,3,2,أَدۡرَىٰكَ,14.72,15.6,
101,3,3,مَا,15.76,15.84,
101,3,4,ٱلۡقَارِعَةُ,16.24,17.12,
101,4,1,یَوۡمَ,17.12,18.72,
101,4,2,یَكُونُ,19.04,19.28,
101,4,3,ٱلنَّاسُ,20.56,20.64,
101,4,4,كَٱلۡفَرَاشِ,21.44,22.64,
101,4,5,ٱلۡمَبۡثُوثِ,22.96,24.72,
101,5,1,وَتَكُونُ,26.32,26.8,
101,5,2,ٱلۡجِبَالُ,27.52,28.24,
101,5,3,كَٱلۡعِهۡنِ,28.48,29.52,
101,5,4,ٱلۡمَنفُوشِ,29.84,32.48,
101,6,1,فَأَمَّا,34.56,35.2,
101,6,2,مَن,36.32,36.4,
101,6,3,ثَقُلَتۡ,37.44,38.24,
101,6,4,مَوَ,38.48,38.8,
101,6,5,ٰزِینُهُۥ,39.04,39.76,
101,7,1,فَهُوَ,40.8,40.88,
101,7,2,فِی,40.88,41.6,
101,7,3,عِیشَةࣲ,41.92,42.72,
101,7,4,رَّاضِیَةࣲ,43.04,44.0,
101,8,1,وَأَمَّا,45.28,45.84,
101,8,2,مَنۡ,47.04,47.12,
101,8,3,خَفَّتۡ,47.52,47.92,
101,8,4,مَوَ,48.48,48.8,
101,8,5,ٰزِینُهُۥ,49.04,49.84,
101,9,1,فَأُمُّهُۥ,50.8,52.56,
101,9,2,هَاوِیَةࣱ,52.88,53.92,
101,10,1,وَمَاۤ,54.96,55.04,
101,10,2,أَدۡرَىٰكَ,57.28,58.16,
101,10,3,مَا,58.32,58.4,
101,10,4,هِیَهۡ,58.72,59.36,
101,11,1,نَارٌ,60.16,60.64,
101,11,2,حَامِیَةُۢ,61.04,62.08,
