surah,ayah,start_s,end_s,source
90,1,3.76,8.08,aligned
90,2,8.32,12.24,aligned
90,3,12.64,13.92,aligned
90,4,14.32,18.48,aligned
90,5,18.88,22.64,aligned
90,6,23.12,26.56,aligned
90,7,26.88,29.92,aligned
90,8,30.32,33.36,aligned
90,9,33.68,36.08,aligned
90,10,36.4,38.08,aligned
90,11,38.4,40.48,aligned
90,12,40.96,43.6,aligned
90,13,43.84,44.8,aligned
90,14,45.12,50.56,aligned
90,15,50.64,52.32,aligned
90,16,52.64,55.84,aligned
90,17,56.48,65.84,aligned
90,18,66.08,69.44,aligned
90,19,69.68,76.0,aligned
90,20,76.32,79.906,aligned
