surah,ayah,word_index_in_ayah,text,start_s,end_s,confidence
106,1,1,لِإِیلَـٰفِ,0.24,5.2,
106,1,2,قُرَیۡشٍ,5.52,6.48,
106,2,1,إِۦلَـٰفِهِمۡ,8.4,8.8,
106,2,2,رِحۡلَةَ,9.36,9.76,
106,2,3,ٱلشِّتَاۤءِ,10.0,12.24,
106,2,4,وَٱلصَّیۡفِ,12.72,13.76,
106,3,1,فَلۡیَعۡبُدُوا۟,14.64,16.0,
106,3,2,رَبَّ,16.24,16.32,
106,3,3,هَـٰذَا,17.04,17.12,
106,3,4,ٱلۡبَیۡتِ,18.32,19.12,
106,4,1,ٱلَّذِیۤ,19.36,20.56,
106,4,2,أَطۡعَمَهُم,21.52,22.64,
106,4,3,مِّن,23.36,23.44,
106,4,4,جُوعࣲ,24.24,24.96,
106,4,5,وَءَامَنَهُم,25.44,26.88,
106,4,6,مِّنۡ,27.84,27.92,
106,4,7,خَوۡفِۭ,28.4,29.12,
