surah,ayah,word_index_in_ayah,text,start_s,end_s,confidence
55,1,1,۞,2.08,2.16,
55,1,2,ٱلرَّحۡمَـٰنُ,10.56,10.64,
55,2,1,عَلَّمَ,11.52,13.36,
55,2,2,ٱلۡقُرۡءَانَ,14.96,15.04,
55,3,1,خَلَقَ,15.84,18.32,
55,3,2,ٱلۡإِنسَـٰنَ,19.92,20.72,
55,4,1,عَلَّمَهُ,21.04,22.48,
55,4,2,ٱلۡبَیَانَ,24.4,24.8,
55,5,1,ٱلشَّمۡسُ,25.12,25.68,
55,5,2,وَٱلۡقَمَرُ,26.08,27.92,
55,5,3,بِحُسۡبَانࣲ,29.76,31.04,
55,6,1,وَٱلنَّجۡمُ,31.44,32.0,
55,6,2,وَٱلشَّجَرُ,32.16,33.92,
55,6,3,یَسۡجُدَانِ,35.52,38.4,
55,7,1,وَٱلسَّمَاۤءَ,38.64,39.44,
55,7,2,رَفَعَهَا,39.68,40.4,
55,7,3,وَوَضَعَ,40.64,42.08,
55,7,4,ٱلۡمِیزَانَ,43.92,44.0,
55,8,1,أَلَّا,44.56,45.36,
55,8,2,تَطۡغَوۡا۟,45.44,45.6,
55,8,3,فِی,45.84,47.52,
55,8,4,ٱلۡمِیزَانِ,49.2,50.08,
55,9,1,وَأَقِیمُوا۟,50.24,50.8,
55,9,2,ٱلۡوَزۡنَ,50.88,51.76,
55,9,3,بِٱلۡقِسۡطِ,51.92,52.0,
55,9,4,وَلَا,52.32,53.28,
55,9,5,تُخۡسِرُوا۟,53.36,54.8,
55,9,6,ٱلۡمِیزَانَ,57.04,57.68,
55,10,1,وَٱلۡأَرۡضَ,57.84,58.56,
55,10,2,وَضَعَهَا,58.8,60.4,
55,10,3,لِلۡأَنَامِ,61.92,62.4,
55,11,1,فِیهَا,62.64,63.68,
55,11,2,فَـٰكِهَةࣱ,64.64,65.92,
55,11,3,وَٱلنَّخۡلُ,66.24,66.72,
55,11,4,ذَاتُ,66.88,67.44,
55,11,5,ٱلۡأَكۡمَامِ,69.84,70.24,
55,12,1,وَٱلۡحَبُّ,70.72,70.96,
55,12,2,ذُو,71.12,71.44,
55,12,3,ٱلۡعَصۡفِ,71.84,73.76,
55,12,4,وَٱلرَّیۡحَانُ,76.0,76.72,
55,13,1,فَبِأَیِّ,77.12,80.8,
55,13,2,ءَالَاۤءِ,81.12,81.92,
55,13,3,رَبِّكُمَا,82.16,83.52,
55,13,4,تُكَذِّبَانِ,86.4,86.48,
55,14,1,خَلَقَ,87.2,88.48,
55,14,2,ٱلۡإِنسَـٰنَ,88.8,88.88,
55,14,3,مِن,89.76,90.8,
55,14,4,صَلۡصَـٰلࣲ,91.68,93.52,
55,14,5,كَٱلۡفَخَّارِ,95.04,95.76,
55,15,1,وَخَلَقَ,96.0,99.04,
55,15,2,ٱلۡجَاۤنَّ,99.52,99.6,
55,15,3,مِن,100.4,101.36,
55,15,4,مَّارِجࣲ,102.16,102.24,
55,15,5,مِّن,103.44,104.88,
55,15,6,نَّارࣲ,106.4,107.04,
55,16,1,فَبِأَیِّ,107.52,111.12,
55,16,2,ءَالَاۤءِ,111.36,112.24,
55,16,3,رَبِّكُمَا,112.48,113.44,
55,16,4,تُكَذِّبَانِ,117.04,117.12,
55,17,1,رَبُّ,117.68,118.72,
55,17,2,ٱلۡمَشۡرِقَیۡنِ,118.88,119.28,
55,17,3,وَرَبُّ,119.6,120.72,
55,17,4,ٱلۡمَغۡرِبَیۡنِ,122.64,123.52,
55,18,1,فَبِأَیِّ,123.52,127.28,
55,18,2,ءَالَاۤءِ,127.52,128.4,
55,18,3,رَبِّكُمَا,128.56,129.52,
55,18,4,تُكَذِّبَانِ,132.4,132.88,
55,19,1,مَرَجَ,133.12,133.92,
55,19,2,ٱلۡبَحۡرَیۡنِ,133.92,136.16,
55,19,3,یَلۡتَقِیَانِ,137.52,138.16,
55,20,1,بَیۡنَهُمَا,138.56,139.44,
55,20,2,بَرۡزَخࣱ,139.6,139.68,
55,20,3,لَّا,139.92,141.76,
55,20,4,یَبۡغِیَانِ,143.68,144.4,
55,21,1,فَبِأَیِّ,144.56,148.16,
