surah,ayah,start_s,end_s,source
55,1,1.36,7.28,aligned
55,2,8.08,9.12,aligned
55,3,9.84,12.0,aligned
55,4,12.32,14.64,aligned
55,5,14.96,18.32,aligned
55,6,18.64,22.64,aligned
55,7,22.88,26.56,aligned
55,8,27.12,30.56,aligned
55,9,30.64,35.68,aligned
55,10,35.84,38.88,aligned
55,11,39.12,44.24,aligned
55,12,44.72,48.4,aligned
55,13,48.8,53.92,aligned
55,14,54.64,61.28,aligned
55,15,61.68,69.2,aligned
55,16,69.52,75.04,aligned
55,17,75.52,80.08,aligned
55,18,80.48,86.0,aligned
55,19,86.32,90.08,aligned
55,20,90.48,94.08,aligned
55,21,94.48,99.28,aligned
55,22,99.76,103.92,aligned
55,23,104.24,109.2,aligned
55,24,109.52,115.76,aligned
55,25,116.16,121.44,aligned
55,26,122.08,126.8,aligned
55,27,127.52,134.08,aligned
55,28,134.56,142.08,aligned
55,29,142.32,148.96,aligned
55,30,149.28,155.04,aligned
55,31,155.2,159.12,aligned
55,32,159.52,165.44,aligned
55,33,165.92,180.48,aligned
55,34,180.8,185.92,aligned
55,35,186.0,195.12,aligned
55,36,195.44,200.48,aligned
55,37,200.64,208.16,aligned
55,38,208.48,214.4,aligned
55,39,214.48,223.12,aligned
55,40,223.44,229.36,aligned
55,41,229.68,240.24,aligned
55,42,240.72,246.64,aligned
55,43,247.68,255.76,aligned
55,44,256.0,262.24,aligned
55,45,262.72,271.04,aligned
55,46,271.28,276.48,aligned
55,47,276.8,282.8,aligned
55,48,282.88,285.44,aligned
55,49,285.76,290.8,aligned
55,50,291.2,294.88,aligned
55,51,295.28,300.64,aligned
55,52,301.2,306.8,aligned
55,53,307.12,313.12,aligned
55,54,313.36,323.2,aligned
55,55,323.52,329.2,aligned
55,56,329.52,339.52,aligned
55,57,339.84,345.6,aligned
55,58,346.16,350.32,aligned
55,59,350.88,355.84,aligned
55,60,356.24,362.88,aligned
55,61,363.52,370.24,aligned
55,62,371.04,375.6,aligned
55,63,375.92,386.08,aligned
55,64,387.36,388.0,aligned
55,65,388.4,393.68,aligned
55,66,394.16,398.24,aligned
55,67,398.56,403.52,aligned
55,68,404.0,409.84,aligned
55,69,410.24,416.0,aligned
55,70,416.4,419.68,aligned
55,71,420.0,425.28,aligned
55,72,425.6,430.64,aligned
55,73,430.96,436.4,aligned
55,74,436.56,445.84,aligned
55,75,446.24,452.8,aligned
55,76,453.12,460.08,aligned
55,77,460.48,467.68,aligned
55,78,468.0,475.763,aligned
