surah,ayah,start_s,end_s,source
55,1,1.52,7.84,aligned
55,2,8.64,12.24,aligned
55,3,12.96,15.68,aligned
55,4,15.92,19.12,aligned
55,5,19.44,23.44,aligned
55,6,23.76,30.64,aligned
55,7,30.88,34.4,aligned
55,8,34.96,39.36,aligned
55,9,39.52,45.36,aligned
55,10,45.52,49.28,aligned
55,11,49.44,56.0,aligned
55,12,56.48,60.8,aligned
55,13,61.12,68.16,aligned
55,14,68.88,76.88,aligned
55,15,77.2,86.32,aligned
55,16,86.64,92.24,aligned
55,17,92.72,97.36,aligned
55,18,97.52,104.96,aligned
55,19,105.28,109.28,aligned
55,20,109.68,114.0,aligned
55,21,114.08,120.32,aligned
55,22,120.4,125.44,aligned
55,23,125.52,133.44,aligned
55,24,133.68,140.96,aligned
55,25,141.04,146.88,aligned
55,26,147.44,151.36,aligned
55,27,151.68,157.68,aligned
55,28,157.76,164.0,aligned
55,29,164.32,171.12,aligned
55,30,171.28,178.56,aligned
55,31,178.72,183.36,aligned
55,32,183.44,189.52,aligned
55,33,190.0,213.92,aligned
55,34,214.0,221.04,aligned
55,35,221.44,231.12,aligned
55,36,231.2,236.88,aligned
55,37,237.04,247.12,aligned
55,38,247.2,253.52,aligned
55,39,253.68,265.12,aligned
55,40,265.52,271.36,aligned
55,41,271.68,284.0,aligned
55,42,284.16,291.28,aligned
55,43,292.16,300.0,aligned
55,44,300.24,304.72,aligned
55,45,304.88,311.68,aligned
55,46,311.76,317.36,aligned
55,47,317.52,325.04,aligned
55,48,326.88,328.96,aligned
55,49,329.12,335.36,aligned
55,50,335.6,338.4,aligned
55,51,338.56,345.12,aligned
55,52,345.44,352.0,aligned
55,53,352.16,359.44,aligned
55,54,359.68,370.88,aligned
55,55,370.96,376.56,aligned
55,56,376.96,388.64,aligned
55,57,388.8,395.52,aligned
55,58,396.32,400.8,aligned
55,59,400.96,406.72,aligned
55,60,407.04,413.36,aligned
55,61,413.52,419.84,aligned
55,62,420.56,425.2,aligned
55,63,425.36,434.64,aligned
55,64,436.64,437.36,aligned
55,65,437.52,443.76,aligned
55,66,444.24,447.52,aligned
55,67,447.68,454.32,aligned
55,68,454.56,460.4,aligned
55,69,460.48,466.96,aligned
55,70,467.28,470.4,aligned
55,71,470.48,477.36,aligned
55,72,477.76,482.8,aligned
55,73,482.96,489.92,aligned
55,74,490.08,500.16,aligned
55,75,500.48,507.2,aligned
55,76,507.44,515.28,aligned
55,77,515.44,522.0,aligned
55,78,522.24,530.493,aligned
