surah,ayah,start_s,end_s,source
56,1,6.56,10.08,aligned
56,2,10.56,14.72,aligned
56,3,14.96,17.2,aligned
56,4,17.36,21.2,aligned
56,5,21.76,25.12,aligned
56,6,25.36,34.16,aligned
56,7,36.4,41.36,aligned
56,8,41.6,48.96,aligned
56,9,49.2,57.12,aligned
56,10,57.36,64.0,aligned
56,11,64.32,68.32,aligned
56,12,68.64,75.36,aligned
56,13,76.72,81.36,aligned
56,14,82.4,87.76,aligned
56,15,88.16,94.24,aligned
56,16,94.56,100.48,aligned
56,17,100.72,107.76,aligned
56,18,108.88,115.84,aligned
56,19,116.08,124.32,aligned
56,20,125.28,131.04,aligned
56,21,131.2,138.64,aligned
56,22,138.96,142.64,aligned
56,23,143.12,150.32,aligned
56,24,151.44,156.4,aligned
56,25,156.72,163.12,aligned
56,26,163.76,170.08,aligned
56,27,170.4,177.68,aligned
56,28,177.84,183.36,aligned
56,29,184.4,189.2,aligned
56,30,190.32,197.12,aligned
56,31,198.0,202.24,aligned
56,32,203.12,204.88,aligned
56,33,205.12,210.72,aligned
56,34,211.68,215.44,aligned
56,35,217.76,227.84,aligned
56,36,228.72,232.08,aligned
56,37,232.16,235.2,aligned
56,38,235.52,238.8,aligned
56,39,240.08,244.32,aligned
56,40,245.28,251.76,aligned
56,41,252.08,259.92,aligned
56,42,260.16,265.44,aligned
56,43,266.56,270.88,aligned
56,44,271.2,278.56,aligned
56,45,278.88,285.36,aligned
56,46,285.44,293.2,aligned
56,47,293.6,306.24,aligned
56,48,306.72,314.48,aligned
56,49,314.88,323.44,aligned
56,50,323.6,330.16,aligned
56,51,331.52,346.64,aligned
56,52,346.88,355.28,aligned
56,53,356.96,361.76,aligned
56,54,362.0,367.28,aligned
56,55,367.52,371.44,aligned
56,56,372.0,377.12,aligned
56,57,377.44,389.28,aligned
56,58,389.92,397.2,aligned
56,59,397.36,405.44,aligned
56,60,405.76,414.64,aligned
56,61,417.36,427.92,aligned
56,62,428.16,441.92,aligned
56,63,442.48,450.08,aligned
56,64,450.24,458.16,aligned
56,65,458.48,470.08,aligned
56,66,470.32,473.92,aligned
56,67,474.24,482.0,aligned
56,68,482.32,492.64,aligned
56,69,494.88,504.0,aligned
56,70,504.32,518.64,aligned
56,71,519.28,528.16,aligned
56,72,530.32,540.96,aligned
56,73,541.28,549.76,aligned
56,74,549.92,554.64,aligned
56,75,556.8,565.12,aligned
56,76,565.6,573.28,aligned
56,77,574.4,578.8,aligned
56,78,579.92,584.64,aligned
56,79,586.64,594.0,aligned
56,80,594.32,599.68,aligned
56,81,600.56,608.32,aligned
56,82,610.48,619.04,aligned
56,83,619.28,626.0,aligned
56,84,627.12,632.4,aligned
56,85,632.96,644.32,aligned
56,86,645.28,654.48,aligned
56,87,655.28,664.16,aligned
56,88,664.96,672.48,aligned
56,89,673.6,681.52,aligned
56,90,682.32,688.8,aligned
56,91,689.2,697.76,aligned
56,92,698.64,708.48,aligned
56,93,708.8,713.28,aligned
56,94,715.92,716.8,aligned
56,95,717.52,723.28,aligned
56,96,723.36,729.913,aligned
