surah,ayah,word_index_in_ayah,text,start_s,end_s,confidence,alignment_origin,match_score,engine_candidate
56,1,1,۞,6.56,6.88,,native,100.0,nemo
56,1,2,إِذَا,7.04,7.6,,native,100.0,nemo
56,1,3,وَقَعَتِ,8.08,8.96,,native,100.0,nemo
56,1,4,ٱلۡوَاقِعَةُ,10.0,10.08,,native,100.0,nemo
56,2,1,لَیۡسَ,10.56,11.68,,native,100.0,nemo
56,2,2,لِوَقۡعَتِهَا,11.92,12.8,,native,100.0,nemo
56,2,3,كَاذِبَةٌ,13.76,14.72,,native,100.0,nemo
56,3,1,خَافِضَةࣱ,14.96,15.92,,native,100.0,nemo
56,3,2,رَّافِعَةٌ,16.88,17.2,,native,100.0,nemo
56,4,1,إِذَا,17.36,18.08,,native,100.0,nemo
56,4,2,رُجَّتِ,18.24,18.72,,native,100.0,nemo
56,4,3,ٱلۡأَرۡضُ,18.88,19.6,,native,100.0,nemo
56,4,4,رَجࣰّا,20.64,21.2,,native,100.0,nemo
56,5,1,وَبُسَّتِ,21.76,22.4,,native,100.0,nemo
56,5,2,ٱلۡجِبَالُ,22.64,23.36,,native,100.0,nemo
56,5,3,بَسࣰّا,24.32,25.12,,native,100.0,nemo
56,6,1,فَكَانَتۡ,25.36,28.16,,native,100.0,nemo
56,6,2,هَبَاۤءࣰ,29.28,31.36,,native,100.0,nemo
56,6,3,مُّنۢبَثࣰّا,32.64,34.16,,native,100.0,nemo
56,7,1,وَكُنتُمۡ,36.4,37.04,,native,100.0,nemo
56,7,2,أَزۡوَ,37.2,37.52,,native,100.0,nemo
56,7,3,ٰجࣰا,38.32,39.2,,native,100.0,nemo
56,7,4,ثَلَـٰثَةࣰ,40.32,41.36,,native,100.0,nemo
56,8,1,فَأَصۡحَـٰبُ,41.6,42.48,,native,100.0,nemo
56,8,2,ٱلۡمَیۡمَنَةِ,42.64,42.72,,native,100.0,nemo
56,8,3,مَاۤ,44.96,45.76,,native,100.0,nemo
56,8,4,أَصۡحَـٰبُ,46.0,46.88,,native,100.0,nemo
56,8,5,ٱلۡمَیۡمَنَةِ,48.0,48.96,,native,100.0,nemo
56,9,1,وَأَصۡحَـٰبُ,49.2,50.0,,native,100.0,nemo
56,9,2,ٱلۡمَشۡءَمَةِ,50.4,50.48,,native,100.0,nemo
56,9,3,مَاۤ,52.64,53.44,,native,100.0,nemo
56,9,4,أَصۡحَـٰبُ,53.76,54.56,,native,100.0,nemo
56,9,5,ٱلۡمَشۡءَمَةِ,55.84,57.12,,native,100.0,nemo
56,10,1,وَٱلسَّـٰبِقُونَ,57.36,59.6,,native,100.0,nemo
56,10,2,ٱلسَّـٰبِقُونَ,60.96,64.0,,native,100.0,nemo
56,11,1,أُو۟لَـٰۤئِكَ,64.32,65.28,,native,100.0,nemo
56,11,2,ٱلۡمُقَرَّبُونَ,68.24,68.32,,native,100.0,nemo
56,12,1,فِی,68.64,70.16,,native,100.0,nemo
56,12,2,جَنَّـٰتِ,71.28,72.16,,native,100.0,nemo
56,12,3,ٱلنَّعِیمِ,74.96,75.36,,native,100.0,nemo
56,13,1,ثُلَّةࣱ,76.72,76.8,,native,100.0,nemo
56,13,2,مِّنَ,77.2,78.16,,native,100.0,nemo
56,13,3,ٱلۡأَوَّلِینَ,80.56,81.36,,native,100.0,nemo
56,14,1,وَقَلِیلࣱ,82.4,82.48,,native,100.0,nemo
56,14,2,مِّنَ,83.04,85.2,,native,100.0,nemo
56,14,3,ٱلۡءَاخِرِینَ,87.68,87.76,,native,100.0,nemo
56,15,1,عَلَىٰ,88.16,88.56,,native,100.0,nemo
56,15,2,سُرُرࣲ,89.6,90.8,,native,100.0,nemo
56,15,3,مَّوۡضُونَةࣲ,91.76,94.24,,native,100.0,nemo
56,16,1,مُّتَّكِءِینَ,94.56,94.64,,native,100.0,nemo
56,16,2,عَلَیۡهَا,95.36,96.88,,native,100.0,nemo
56,16,3,مُتَقَـٰبِلِینَ,99.76,100.48,,native,100.0,nemo
56,17,1,یَطُوفُ,100.72,101.36,,native,100.0,nemo
56,17,2,عَلَیۡهِمۡ,101.52,102.08,,native,100.0,nemo
56,17,3,وِلۡدَ,102.24,102.32,,native,100.0,nemo
56,17,4,ٰنࣱ,103.28,104.64,,native,100.0,nemo
56,17,5,مُّخَلَّدُونَ,106.8,107.76,,native,100.0,nemo
56,18,1,بِأَكۡوَابࣲ,108.88,110.08,,native,100.0,nemo
56,18,2,وَأَبَارِیقَ,110.32,111.04,,native,100.0,nemo
56,18,3,وَكَأۡسࣲ,111.84,111.92,,native,100.0,nemo
56,18,4,مِّن,113.04,113.84,,native,100.0,nemo
56,18,5,مَّعِینࣲ,115.76,115.84,,native,100.0,nemo
56,19,1,لَّا,116.08,117.28,,native,100.0,nemo
56,19,2,یُصَدَّعُونَ,117.52,117.92,,native,100.0,nemo
56,19,3,عَنۡهَا,118.24,118.32,,native,100.0,nemo
56,19,4,وَلَا,118.88,120.72,,native,100.0,nemo
56,19,5,یُنزِفُونَ,123.2,124.32,,native,100.0,nemo
56,20,1,وَفَـٰكِهَةࣲ,125.28,125.76,,native,100.0,nemo
56,20,2,مِّمَّا,126.8,129.04,,native,100.0,nemo
56,20,3,یَتَخَیَّرُونَ,130.4,131.04,,native,100.0,nemo
56,21,1,وَلَحۡمِ,131.2,131.68,,native,100.0,nemo
56,21,2,طَیۡرࣲ,132.48,133.04,,native,100.0,nemo
56,21,3,مِّمَّا,134.0,135.12,,native,100.0,nemo
56,21,4,یَشۡتَهُونَ,138.0,138.64,,native,100.0,nemo
56,22,1,وَحُورٌ,138.96,139.52,,native,100.0,nemo
56,22,2,عِینࣱ,141.92,142.64,,native,100.0,nemo
56,23,1,كَأَمۡثَـٰلِ,143.12,144.0,,native,100.0,nemo
56,23,2,ٱللُّؤۡلُؤِ,144.16,145.12,,native,100.0,nemo
56,23,3,ٱلۡمَكۡنُونِ,147.6,150.32,,native,100.0,nemo
56,24,1,جَزَاۤءَۢ,151.44,151.52,,native,100.0,nemo
56,24,2,بِمَا,152.08,152.72,,native,100.0,nemo
56,24,3,كَانُوا۟,152.8,153.52,,native,100.0,nemo
56,24,4,یَعۡمَلُونَ,156.32,156.4,,native,100.0,nemo
56,25,1,لَا,156.72,157.6,,native,100.0,nemo
56,25,2,یَسۡمَعُونَ,157.76,157.84,,native,100.0,nemo
56,25,3,فِیهَا,158.48,159.12,,native,100.0,nemo
56,25,4,لَغۡوࣰا,160.08,160.16,,native,100.0,nemo
56,25,5,وَلَا,160.72,161.52,,native,100.0,nemo
56,25,6,تَأۡثِیمًا,163.04,163.12,,native,100.0,nemo
56,26,1,إِلَّا,163.76,164.32,,native,100.0,nemo
56,26,2,قِیلࣰا,165.2,166.16,,native,100.0,nemo
56,26,3,سَلَـٰمࣰا,166.88,167.6,,native,100.0,nemo
56,26,4,سَلَـٰمࣰا,169.12,170.08,,native,100.0,nemo
56,27,1,وَأَصۡحَـٰبُ,170.4,170.96,,native,100.0,nemo
56,27,2,ٱلۡیَمِینِ,171.28,171.36,,native,100.0,nemo
56,27,3,مَاۤ,173.6,174.4,,native,100.0,nemo
56,27,4,أَصۡحَـٰبُ,174.8,175.6,,native,100.0,nemo
56,27,5,ٱلۡیَمِینِ,177.6,177.68,,native,100.0,nemo
56,28,1,فِی,177.84,178.48,,native,100.0,nemo
56,28,2,سِدۡرࣲ,179.36,180.48,,native,100.0,nemo
56,28,3,مَّخۡضُودࣲ,182.56,183.36,,native,100.0,nemo
56,29,1,وَطَلۡحࣲ,184.4,186.16,,native,100.0,nemo
56,29,2,مَّنضُودࣲ,188.56,189.2,,native,100.0,nemo
56,30,1,وَظِلࣲّ,190.32,191.44,,native,100.0,nemo
56,30,2,مَّمۡدُودࣲ,194.4,197.12,,native,100.0,nemo
56,31,1,وَمَاۤءࣲ,198.0,199.2,,native,100.0,nemo
56,31,2,مَّسۡكُوبࣲ,201.04,202.24,,native,100.0,nemo
56,32,1,وَفَـٰكِهَةࣲ,203.12,204.0,,native,100.0,nemo
56,32,2,كَثِیرَةࣲ,204.8,204.88,,native,100.0,nemo
56,33,1,لَّا,205.12,206.24,,native,100.0,nemo
56,33,2,مَقۡطُوعَةࣲ,207.2,207.28,,native,100.0,nemo
56,33,3,وَلَا,207.76,208.8,,native,100.0,nemo
56,33,4,مَمۡنُوعَةࣲ,209.92,210.72,,native,100.0,nemo
56,34,1,وَفُرُشࣲ,211.68,212.8,,native,100.0,nemo
56,34,2,مَّرۡفُوعَةٍ,214.0,215.44,,native,100.0,nemo
56,35,1,إِنَّاۤ,217.76,220.08,,native,100.0,nemo
56,35,2,أَنشَأۡنَـٰهُنَّ,221.04,224.64,,native,100.0,nemo
56,35,3,إِنشَاۤءࣰ,226.16,227.84,,native,100.0,nemo
56,36,1,فَجَعَلۡنَـٰهُنَّ,228.72,229.76,,native,100.0,nemo
56,36,2,أَبۡكَارًا,231.36,232.08,,native,100.0,nemo
56,37,1,عُرُبًا,232.16,232.88,,native,100.0,nemo
56,37,2,أَتۡرَابࣰا,234.24,235.2,,native,100.0,nemo
56,38,1,لِّأَصۡحَـٰبِ,235.52,236.16,,native,100.0,nemo
56,38,2,ٱلۡیَمِینِ,238.4,238.8,,native,100.0,nemo
56,39,1,ثُلَّةࣱ,240.08,240.16,,native,100.0,nemo
