surah,ayah,start_s,end_s,source
56,1,3.68,6.24,aligned
56,2,6.56,9.6,aligned
56,3,9.92,11.2,aligned
56,4,11.36,13.84,aligned
56,5,14.32,16.64,aligned
56,6,16.8,21.28,aligned
56,7,21.36,24.32,aligned
56,8,24.48,28.4,aligned
56,9,28.64,33.12,aligned
56,10,33.36,36.64,aligned
56,11,36.96,38.32,aligned
56,12,38.56,41.84,aligned
56,13,42.24,44.16,aligned
56,14,44.8,46.56,aligned
56,15,46.88,49.92,aligned
56,16,50.16,53.12,aligned
56,17,53.28,57.2,aligned
56,18,57.52,61.2,aligned
56,19,61.44,66.4,aligned
56,20,66.72,69.84,aligned
56,21,70.0,73.92,aligned
56,22,74.24,75.76,aligned
56,23,76.32,80.08,aligned
56,24,80.56,83.44,aligned
56,25,83.68,88.32,aligned
56,26,88.88,95.28,aligned
56,27,95.52,98.64,aligned
56,28,98.8,101.28,aligned
56,29,101.6,103.36,aligned
56,30,103.76,106.08,aligned
56,31,106.56,109.52,aligned
56,32,109.84,111.12,aligned
56,33,111.36,114.96,aligned
56,34,115.28,117.04,aligned
56,35,117.28,123.44,aligned
56,36,123.6,125.2,aligned
56,37,125.36,127.04,aligned
56,38,127.36,128.72,aligned
56,39,129.2,131.2,aligned
56,40,131.76,134.32,aligned
56,41,134.64,138.24,aligned
56,42,138.48,141.52,aligned
56,43,141.92,144.0,aligned
56,44,144.24,147.6,aligned
56,45,147.84,151.92,aligned
56,46,152.08,156.08,aligned
56,47,156.4,164.0,aligned
56,48,164.24,168.16,aligned
56,49,168.56,173.2,aligned
56,50,173.52,178.08,aligned
56,51,178.56,185.84,aligned
56,52,186.08,190.24,aligned
56,53,190.4,193.2,aligned
56,54,193.44,197.28,aligned
56,55,197.44,199.12,aligned
56,56,199.6,202.48,aligned
56,57,202.88,207.76,aligned
56,58,208.0,210.48,aligned
56,59,210.56,214.48,aligned
56,60,214.88,219.84,aligned
56,61,220.24,227.12,aligned
56,62,227.36,235.84,aligned
56,63,236.08,238.8,aligned
56,64,238.96,243.28,aligned
56,65,243.6,250.88,aligned
56,66,251.04,252.24,aligned
56,67,252.56,256.0,aligned
56,68,256.16,260.72,aligned
56,69,260.88,266.0,aligned
56,70,266.32,273.2,aligned
56,71,273.44,277.2,aligned
56,72,277.28,282.24,aligned
56,73,282.64,288.0,aligned
56,74,288.16,290.4,aligned
56,75,290.72,295.76,aligned
56,76,296.24,300.0,aligned
56,77,300.32,302.0,aligned
56,78,302.4,304.4,aligned
56,79,304.64,307.92,aligned
56,80,308.16,311.2,aligned
56,81,311.92,315.84,aligned
56,82,316.08,319.76,aligned
56,83,319.92,323.92,aligned
56,84,324.32,326.88,aligned
56,85,327.36,332.32,aligned
56,86,332.72,336.96,aligned
56,87,337.36,340.96,aligned
56,88,341.52,345.84,aligned
56,89,346.32,349.44,aligned
56,90,349.92,353.6,aligned
56,91,353.92,357.36,aligned
56,92,357.84,365.36,aligned
56,93,365.6,368.64,aligned
56,94,369.44,370.08,aligned
56,95,370.64,374.8,aligned
56,96,374.88,379.619,aligned
