surah,ayah,word_index_in_ayah,text,start_s,end_s,confidence,alignment_origin,match_score,engine_candidate
56,1,1,۞,3.68,3.92,,native,100.0,nemo
56,1,2,إِذَا,4.08,4.64,,native,100.0,nemo
56,1,3,وَقَعَتِ,5.04,5.76,,native,100.0,nemo
56,1,4,ٱلۡوَاقِعَةُ,6.16,6.24,,native,100.0,nemo
56,2,1,لَیۡسَ,6.56,7.6,,native,100.0,nemo
56,2,2,لِوَقۡعَتِهَا,7.76,8.56,,native,100.0,nemo
56,2,3,كَاذِبَةٌ,8.88,9.6,,native,100.0,nemo
56,3,1,خَافِضَةࣱ,9.92,10.64,,native,100.0,nemo
56,3,2,رَّافِعَةٌ,10.96,11.2,,native,100.0,nemo
56,4,1,إِذَا,11.36,11.92,,native,100.0,nemo
56,4,2,رُجَّتِ,12.08,12.48,,native,100.0,nemo
56,4,3,ٱلۡأَرۡضُ,12.64,13.12,,native,100.0,nemo
56,4,4,رَجࣰّا,13.36,13.84,,native,100.0,nemo
56,5,1,وَبُسَّتِ,14.32,14.8,,native,100.0,nemo
56,5,2,ٱلۡجِبَالُ,14.96,15.52,,native,100.0,nemo
56,5,3,بَسࣰّا,15.92,16.64,,native,100.0,nemo
56,6,1,فَكَانَتۡ,16.8,18.0,,native,100.0,nemo
56,6,2,هَبَاۤءࣰ,18.64,19.84,,native,100.0,nemo
56,6,3,مُّنۢبَثࣰّا,20.32,21.28,,native,100.0,nemo
56,7,1,وَكُنتُمۡ,21.36,21.84,,native,100.0,nemo
56,7,2,أَزۡوَ,22.0,22.24,,native,100.0,nemo
56,7,3,ٰجࣰا,22.48,23.2,,native,100.0,nemo
56,7,4,ثَلَـٰثَةࣰ,23.52,24.32,,native,100.0,nemo
56,8,1,فَأَصۡحَـٰبُ,24.48,25.2,,native,100.0,nemo
56,8,2,ٱلۡمَیۡمَنَةِ,25.36,25.44,,native,100.0,nemo
56,8,3,مَاۤ,25.68,26.32,,native,100.0,nemo
56,8,4,أَصۡحَـٰبُ,26.56,27.28,,native,100.0,nemo
56,8,5,ٱلۡمَیۡمَنَةِ,27.6,28.4,,native,100.0,nemo
56,9,1,وَأَصۡحَـٰبُ,28.64,29.36,,native,100.0,nemo
56,9,2,ٱلۡمَشۡءَمَةِ,29.52,29.6,,native,100.0,nemo
56,9,3,مَاۤ,29.84,30.48,,native,100.0,nemo
56,9,4,أَصۡحَـٰبُ,30.72,31.52,,native,100.0,nemo
56,9,5,ٱلۡمَشۡءَمَةِ,31.92,33.12,,native,100.0,nemo
56,10,1,وَٱلسَّـٰبِقُونَ,33.36,34.32,,native,100.0,nemo
56,10,2,ٱلسَّـٰبِقُونَ,34.88,36.64,,native,100.0,nemo
56,11,1,أُو۟لَـٰۤئِكَ,36.96,38.0,,native,100.0,nemo
56,11,2,ٱلۡمُقَرَّبُونَ,38.24,38.32,,native,100.0,nemo
56,12,1,فِی,38.56,39.52,,native,100.0,nemo
56,12,2,جَنَّـٰتِ,39.92,40.64,,native,100.0,nemo
56,12,3,ٱلنَّعِیمِ,41.28,41.84,,native,100.0,nemo
56,13,1,ثُلَّةࣱ,42.24,42.32,,native,100.0,nemo
56,13,2,مِّنَ,42.64,43.44,,native,100.0,nemo
56,13,3,ٱلۡأَوَّلِینَ,43.68,44.16,,native,100.0,nemo
56,14,1,وَقَلِیلࣱ,44.8,44.88,,native,100.0,nemo
56,14,2,مِّنَ,45.2,46.0,,native,100.0,nemo
56,14,3,ٱلۡءَاخِرِینَ,46.48,46.56,,native,100.0,nemo
56,15,1,عَلَىٰ,46.88,47.44,,native,100.0,nemo
56,15,2,سُرُرࣲ,47.76,48.64,,native,100.0,nemo
56,15,3,مَّوۡضُونَةࣲ,48.96,49.92,,native,100.0,nemo
56,16,1,مُّتَّكِءِینَ,50.16,50.24,,native,100.0,nemo
56,16,2,عَلَیۡهَا,50.88,52.08,,native,100.0,nemo
56,16,3,مُتَقَـٰبِلِینَ,52.56,53.12,,native,100.0,nemo
56,17,1,یَطُوفُ,53.28,53.84,,native,100.0,nemo
56,17,2,عَلَیۡهِمۡ,54.0,54.48,,native,100.0,nemo
56,17,3,وِلۡدَ,54.64,54.72,,native,100.0,nemo
56,17,4,ٰنࣱ,55.12,56.16,,native,100.0,nemo
56,17,5,مُّخَلَّدُونَ,56.32,57.2,,native,100.0,nemo
56,18,1,بِأَكۡوَابࣲ,57.52,58.56,,native,100.0,nemo
56,18,2,وَأَبَارِیقَ,58.72,59.36,,native,100.0,nemo
56,18,3,وَكَأۡسࣲ,59.68,59.76,,native,100.0,nemo
56,18,4,مِّن,60.08,60.72,,native,100.0,nemo
56,18,5,مَّعِینࣲ,61.12,61.2,,native,100.0,nemo
56,19,1,لَّا,61.44,62.48,,native,100.0,nemo
56,19,2,یُصَدَّعُونَ,62.72,63.12,,native,100.0,nemo
56,19,3,عَنۡهَا,63.36,63.44,,native,100.0,nemo
56,19,4,وَلَا,63.84,64.96,,native,100.0,nemo
56,19,5,یُنزِفُونَ,65.44,66.4,,native,100.0,nemo
56,20,1,وَفَـٰكِهَةࣲ,66.72,67.2,,native,100.0,nemo
56,20,2,مِّمَّا,67.68,68.8,,native,100.0,nemo
56,20,3,یَتَخَیَّرُونَ,69.28,69.84,,native,100.0,nemo
56,21,1,وَلَحۡمِ,70.0,70.4,,native,100.0,nemo
56,21,2,طَیۡرࣲ,70.72,71.2,,native,100.0,nemo
56,21,3,مِّمَّا,71.76,72.64,,native,100.0,nemo
56,21,4,یَشۡتَهُونَ,73.36,73.92,,native,100.0,nemo
56,22,1,وَحُورٌ,74.24,74.64,,native,100.0,nemo
56,22,2,عِینࣱ,75.04,75.76,,native,100.0,nemo
56,23,1,كَأَمۡثَـٰلِ,76.32,77.04,,native,100.0,nemo
56,23,2,ٱللُّؤۡلُؤِ,77.2,78.08,,native,100.0,nemo
56,23,3,ٱلۡمَكۡنُونِ,78.56,80.08,,native,100.0,nemo
56,24,1,جَزَاۤءَۢ,80.56,80.64,,native,100.0,nemo
56,24,2,بِمَا,81.2,81.76,,native,100.0,nemo
56,24,3,كَانُوا۟,81.92,82.72,,native,100.0,nemo
56,24,4,یَعۡمَلُونَ,83.36,83.44,,native,100.0,nemo
56,25,1,لَا,83.68,84.56,,native,100.0,nemo
56,25,2,یَسۡمَعُونَ,84.72,84.8,,native,100.0,nemo
56,25,3,فِیهَا,85.36,85.92,,native,100.0,nemo
56,25,4,لَغۡوࣰا,86.32,86.4,,native,100.0,nemo
56,25,5,وَلَا,86.88,87.68,,native,100.0,nemo
56,25,6,تَأۡثِیمًا,88.24,88.32,,native,100.0,nemo
56,26,1,إِلَّا,88.88,89.52,,native,100.0,nemo
56,26,2,قِیلࣰا,90.08,91.04,,native,100.0,nemo
56,26,3,سَلَـٰمࣰا,91.92,92.96,,native,100.0,nemo
56,26,4,سَلَـٰمࣰا,94.48,95.28,,native,100.0,nemo
56,27,1,وَأَصۡحَـٰبُ,95.52,96.08,,native,100.0,nemo
56,27,2,ٱلۡیَمِینِ,96.24,96.32,,native,100.0,nemo
56,27,3,مَاۤ,96.48,97.2,,native,100.0,nemo
56,27,4,أَصۡحَـٰبُ,97.44,98.0,,native,100.0,nemo
56,27,5,ٱلۡیَمِینِ,98.56,98.64,,native,100.0,nemo
56,28,1,فِی,98.8,99.28,,native,100.0,nemo
56,28,2,سِدۡرࣲ,99.52,100.24,,native,100.0,nemo
56,28,3,مَّخۡضُودࣲ,100.64,101.28,,native,100.0,nemo
56,29,1,وَطَلۡحࣲ,101.6,102.48,,native,100.0,nemo
56,29,2,مَّنضُودࣲ,102.8,103.36,,native,100.0,nemo
56,30,1,وَظِلࣲّ,103.76,104.56,,native,100.0,nemo
56,30,2,مَّمۡدُودࣲ,104.96,106.08,,native,100.0,nemo
56,31,1,وَمَاۤءࣲ,106.56,107.52,,native,100.0,nemo
56,31,2,مَّسۡكُوبࣲ,108.48,109.52,,native,100.0,nemo
56,32,1,وَفَـٰكِهَةࣲ,109.84,110.64,,native,100.0,nemo
56,32,2,كَثِیرَةࣲ,111.04,111.12,,native,100.0,nemo
56,33,1,لَّا,111.36,112.32,,native,100.0,nemo
56,33,2,مَقۡطُوعَةࣲ,112.72,112.8,,native,100.0,nemo
56,33,3,وَلَا,113.12,114.0,,native,100.0,nemo
56,33,4,مَمۡنُوعَةࣲ,114.32,114.96,,native,100.0,nemo
56,34,1,وَفُرُشࣲ,115.28,116.16,,native,100.0,nemo
56,34,2,مَّرۡفُوعَةٍ,116.56,117.04,,native,100.0,nemo
56,35,1,إِنَّاۤ,117.28,118.96,,native,100.0,nemo
56,35,2,أَنشَأۡنَـٰهُنَّ,119.36,121.28,,native,100.0,nemo
56,35,3,إِنشَاۤءࣰ,122.08,123.44,,native,100.0,nemo
56,36,1,فَجَعَلۡنَـٰهُنَّ,123.6,124.48,,native,100.0,nemo
56,36,2,أَبۡكَارًا,124.64,125.2,,native,100.0,nemo
56,37,1,عُرُبًا,125.36,126.0,,native,100.0,nemo
56,37,2,أَتۡرَابࣰا,126.24,127.04,,native,100.0,nemo
56,38,1,لِّأَصۡحَـٰبِ,127.36,127.84,,native,100.0,nemo
56,38,2,ٱلۡیَمِینِ,128.32,128.72,,native,100.0,nemo
56,39,1,ثُلَّةࣱ,129.2,129.28,,native,100.0,nemo
56,39,2,مِّنَ,129.68,130.4,,native,100.0,nemo
56,39,3,ٱلۡأَوَّلِینَ,130.64,131.2,,native,100.0,nemo
56,40,1,وَثُلَّةࣱ,131.76,131.84,,native,100.0,nemo
56,40,2,مِّنَ,132.24,133.04,,native,100.0,nemo
56,40,3,ٱلۡءَاخِرِینَ,133.52,134.32,,native,100.0,nemo
56,41,1,وَأَصۡحَـٰبُ,134.64,135.04,,native,100.0,nemo
56,41,2,ٱلشِّمَالِ,135.44,135.52,,native,100.0,nemo
56,41,3,مَاۤ,135.76,136.48,,native,100.0,nemo
56,41,4,أَصۡحَـٰبُ,136.72,137.2,,native,100.0,nemo
56,41,5,ٱلشِّمَالِ,138.16,138.24,,native,100.0,nemo
56,42,1,فِی,138.48,139.04,,native,100.0,nemo
56,42,2,سَمُومࣲ,139.44,140.32,,native,100.0,nemo
56,42,3,وَحَمِیمࣲ,140.88,141.52,,native,100.0,nemo
56,43,1,وَظِلࣲّ,141.92,142.0,,native,100.0,nemo
56,43,2,مِّن,142.4,143.2,,native,100.0,nemo
56,43,3,یَحۡمُومࣲ,143.92,144.0,,native,100.0,nemo
56,44,1,لَّا,144.24,144.88,,native,100.0,nemo
56,44,2,بَارِدࣲ,145.28,145.36,,native,100.0,nemo
56,44,3,وَلَا,145.76,146.32,,native,100.0,nemo
56,44,4,كَرِیمٍ,146.96,147.6,,native,100.0,nemo
56,45,1,إِنَّهُمۡ,147.84,148.4,,native,100.0,nemo
56,45,2,كَانُوا۟,148.56,148.64,,native,100.0,nemo
56,45,3,قَبۡلَ,149.12,149.2,,native,100.0,nemo
56,45,4,ذَ,149.36,149.44,,native,100.0,nemo
56,45,5,ٰلِكَ,149.68,150.56,,native,100.0,nemo
56,45,6,مُتۡرَفِینَ,151.28,151.92,,native,100.0,nemo
56,46,1,وَكَانُوا۟,152.08,152.96,,native,100.0,nemo
56,46,2,یُصِرُّونَ,153.12,153.2,,native,100.0,nemo
56,46,3,عَلَى,153.52,154.16,,native,100.0,nemo
56,46,4,ٱلۡحِنثِ,154.48,154.56,,native,100.0,nemo
56,46,5,ٱلۡعَظِیمِ,155.52,156.08,,native,100.0,nemo
56,47,1,وَكَانُوا۟,156.4,156.96,,native,100.0,nemo
56,47,2,یَقُولُونَ,157.04,157.52,,native,100.0,nemo
56,47,3,أَئِذَا,157.68,158.24,,native,100.0,nemo
56,47,4,مِتۡنَا,158.32,159.04,,native,100.0,nemo
56,47,5,وَكُنَّا,159.2,159.76,,native,100.0,nemo
56,47,6,تُرَابࣰا,160.16,161.04,,native,100.0,nemo
56,47,7,وَعِظَـٰمًا,161.12,161.84,,native,100.0,nemo
56,47,8,أَءِنَّا,162.08,163.28,,native,100.0,nemo
56,47,9,لَمَبۡعُوثُونَ,163.92,164.0,,native,100.0,nemo
56,48,1,أَوَ,164.24,166.32,,native,100.0,nemo
56,48,2,ءَابَاۤؤُنَا,166.56,167.36,,native,100.0,nemo
56,48,3,ٱلۡأَوَّلُونَ,168.08,168.16,,native,100.0,nemo
56,49,1,قُلۡ,168.56,168.64,,native,100.0,nemo
56,49,2,إِنَّ,169.28,170.16,,native,100.0,nemo
56,49,3,ٱلۡأَوَّلِینَ,170.4,171.6,,native,100.0,nemo
56,49,4,وَٱلۡءَاخِرِینَ,171.84,173.2,,native,100.0,nemo
56,50,1,لَمَجۡمُوعُونَ,173.52,173.92,,native,100.0,nemo
56,50,2,إِلَىٰ,174.0,174.88,,native,100.0,nemo
56,50,3,مِیقَـٰتِ,175.12,175.2,,native,100.0,nemo
56,50,4,یَوۡمࣲ,176.08,176.64,,native,100.0,nemo
56,50,5,مَّعۡلُومࣲ,178.0,178.08,,native,100.0,nemo
56,51,1,ثُمَّ,178.56,179.2,,native,100.0,nemo
56,51,2,إِنَّكُمۡ,179.44,180.0,,native,100.0,nemo
56,51,3,أَیُّهَا,180.24,182.96,,native,100.0,nemo
56,51,4,ٱلضَّاۤلُّونَ,183.28,184.32,,native,100.0,nemo
56,51,5,ٱلۡمُكَذِّبُونَ,184.88,185.84,,native,100.0,nemo
56,52,1,لَءَاكِلُونَ,186.08,186.16,,native,100.0,nemo
56,52,2,مِن,186.48,186.8,,native,100.0,nemo
56,52,3,شَجَرࣲ,187.36,187.44,,native,100.0,nemo
56,52,4,مِّن,187.84,188.32,,native,100.0,nemo
56,52,5,زَقُّومࣲ,189.2,190.24,,native,100.0,nemo
56,53,1,فَمَالِءُونَ,190.4,190.72,,native,100.0,nemo
56,53,2,مِنۡهَا,190.96,191.68,,native,100.0,nemo
56,53,3,ٱلۡبُطُونَ,192.16,193.2,,native,100.0,nemo
56,54,1,فَشَـٰرِبُونَ,193.44,193.52,,native,100.0,nemo
56,54,2,عَلَیۡهِ,194.08,194.16,,native,100.0,nemo
56,54,3,مِنَ,194.48,195.2,,native,100.0,nemo
56,54,4,ٱلۡحَمِیمِ,196.24,197.28,,native,100.0,nemo
56,55,1,فَشَـٰرِبُونَ,197.44,197.92,,native,100.0,nemo
56,55,2,شُرۡبَ,198.08,198.64,,native,100.0,nemo
56,55,3,ٱلۡهِیمِ,199.04,199.12,,native,100.0,nemo
56,56,1,هَـٰذَا,199.6,200.48,,native,100.0,nemo
56,56,2,نُزُلُهُمۡ,200.72,200.8,,native,100.0,nemo
56,56,3,یَوۡمَ,201.28,201.36,,native,100.0,nemo
56,56,4,ٱلدِّینِ,202.4,202.48,,native,100.0,nemo
56,57,1,نَحۡنُ,202.88,203.84,,native,100.0,nemo
