surah,ayah,start_s,end_s,source
56,1,2.96,5.6,aligned
56,2,6.0,9.28,aligned
56,3,9.52,11.12,aligned
56,4,11.2,14.16,aligned
56,5,14.72,17.36,aligned
56,6,17.52,22.64,aligned
56,7,22.72,26.08,aligned
56,8,26.32,30.8,aligned
56,9,31.04,35.76,aligned
56,10,36.0,40.0,aligned
56,11,40.32,42.24,aligned
56,12,42.56,45.76,aligned
56,13,46.32,49.04,aligned
56,14,49.44,51.68,aligned
56,15,52.0,55.36,aligned
56,16,55.52,58.8,aligned
56,17,58.96,63.52,aligned
56,18,64.0,68.32,aligned
56,19,68.56,74.16,aligned
56,20,74.32,77.76,aligned
56,21,77.84,81.68,aligned
56,22,82.0,83.44,aligned
56,23,83.84,87.44,aligned
56,24,88.16,92.24,aligned
56,25,92.56,96.88,aligned
56,26,97.44,102.8,aligned
56,27,103.12,106.48,aligned
56,28,106.72,109.52,aligned
56,29,109.92,112.16,aligned
56,30,112.48,115.2,aligned
56,31,115.68,118.16,aligned
56,32,118.56,119.68,aligned
56,33,119.92,124.56,aligned
56,34,124.88,127.28,aligned
56,35,127.68,134.48,aligned
56,36,134.72,136.72,aligned
56,37,136.8,138.8,aligned
56,38,138.96,141.36,aligned
56,39,141.84,144.16,aligned
56,40,144.56,147.52,aligned
56,41,147.68,150.88,aligned
56,42,151.04,153.92,aligned
56,43,154.32,156.48,aligned
56,44,156.8,160.08,aligned
56,45,160.32,164.16,aligned
56,46,164.24,168.56,aligned
56,47,168.72,176.8,aligned
56,48,177.04,180.88,aligned
56,49,181.28,185.44,aligned
56,50,185.6,189.44,aligned
56,51,190.16,197.28,aligned
56,52,197.44,201.44,aligned
56,53,201.6,204.24,aligned
56,54,204.48,208.0,aligned
56,55,208.16,210.4,aligned
56,56,211.04,215.68,aligned
56,57,216.16,221.2,aligned
56,58,221.28,224.08,aligned
56,59,224.16,228.24,aligned
56,60,228.72,233.92,aligned
56,61,234.32,241.2,aligned
56,62,241.44,247.76,aligned
56,63,247.92,250.64,aligned
56,64,250.8,254.72,aligned
56,65,255.04,261.6,aligned
56,66,261.76,263.28,aligned
56,67,263.6,267.04,aligned
56,68,267.2,271.52,aligned
56,69,271.6,276.88,aligned
56,70,277.12,284.4,aligned
56,71,284.64,288.24,aligned
56,72,288.32,293.68,aligned
56,73,294.16,299.76,aligned
56,74,299.92,302.88,aligned
56,75,303.44,308.56,aligned
56,76,308.96,313.44,aligned
56,77,313.92,315.92,aligned
56,78,316.4,318.96,aligned
56,79,319.12,322.88,aligned
56,80,323.2,326.48,aligned
56,81,327.2,331.44,aligned
56,82,331.68,335.76,aligned
56,83,335.92,340.08,aligned
56,84,340.56,343.28,aligned
56,85,343.76,348.96,aligned
56,86,349.36,353.76,aligned
56,87,354.24,358.48,aligned
56,88,359.2,363.6,aligned
56,89,364.08,368.0,aligned
56,90,368.72,372.48,aligned
56,91,372.8,376.16,aligned
56,92,376.64,383.68,aligned
56,93,384.0,386.88,aligned
56,94,387.52,388.48,aligned
56,95,389.04,393.28,aligned
56,96,393.28,396.17,aligned
