surah,ayah,word_index_in_ayah,text,start_s,end_s,confidence,alignment_origin,match_score,engine_candidate
56,1,1,۞,2.96,3.28,,native,100.0,nemo
56,1,2,إِذَا,3.36,3.84,,native,100.0,nemo
56,1,3,وَقَعَتِ,4.24,5.04,,native,100.0,nemo
56,1,4,ٱلۡوَاقِعَةُ,5.52,5.6,,native,100.0,nemo
56,2,1,لَیۡسَ,6.0,7.12,,native,100.0,nemo
56,2,2,لِوَقۡعَتِهَا,7.28,8.08,,native,100.0,nemo
56,2,3,كَاذِبَةٌ,8.4,9.28,,native,100.0,nemo
56,3,1,خَافِضَةࣱ,9.52,10.32,,native,100.0,nemo
56,3,2,رَّافِعَةٌ,10.8,11.12,,native,100.0,nemo
56,4,1,إِذَا,11.2,11.92,,native,100.0,nemo
56,4,2,رُجَّتِ,12.08,12.48,,native,100.0,nemo
56,4,3,ٱلۡأَرۡضُ,12.64,13.28,,native,100.0,nemo
56,4,4,رَجࣰّا,13.68,14.16,,native,100.0,nemo
56,5,1,وَبُسَّتِ,14.72,15.28,,native,100.0,nemo
56,5,2,ٱلۡجِبَالُ,15.44,16.08,,native,100.0,nemo
56,5,3,بَسࣰّا,16.64,17.36,,native,100.0,nemo
56,6,1,فَكَانَتۡ,17.52,19.12,,native,100.0,nemo
56,6,2,هَبَاۤءࣰ,19.6,20.96,,native,100.0,nemo
56,6,3,مُّنۢبَثࣰّا,21.6,22.64,,native,100.0,nemo
56,7,1,وَكُنتُمۡ,22.72,23.28,,native,100.0,nemo
56,7,2,أَزۡوَ,23.44,23.68,,native,100.0,nemo
56,7,3,ٰجࣰا,24.0,24.8,,native,100.0,nemo
56,7,4,ثَلَـٰثَةࣰ,25.2,26.08,,native,100.0,nemo
56,8,1,فَأَصۡحَـٰبُ,26.32,27.12,,native,100.0,nemo
56,8,2,ٱلۡمَیۡمَنَةِ,27.28,27.36,,native,100.0,nemo
56,8,3,مَاۤ,27.68,28.48,,native,100.0,nemo
56,8,4,أَصۡحَـٰبُ,28.64,29.44,,native,100.0,nemo
56,8,5,ٱلۡمَیۡمَنَةِ,29.92,30.8,,native,100.0,nemo
56,9,1,وَأَصۡحَـٰبُ,31.04,31.68,,native,100.0,nemo
56,9,2,ٱلۡمَشۡءَمَةِ,32.0,32.08,,native,100.0,nemo
56,9,3,مَاۤ,32.4,33.12,,native,100.0,nemo
56,9,4,أَصۡحَـٰبُ,33.36,34.08,,native,100.0,nemo
56,9,5,ٱلۡمَشۡءَمَةِ,34.64,35.76,,native,100.0,nemo
56,10,1,وَٱلسَّـٰبِقُونَ,36.0,37.04,,native,100.0,nemo
56,10,2,ٱلسَّـٰبِقُونَ,38.0,40.0,,native,100.0,nemo
56,11,1,أُو۟لَـٰۤئِكَ,40.32,41.44,,native,100.0,nemo
56,11,2,ٱلۡمُقَرَّبُونَ,42.16,42.24,,native,100.0,nemo
56,12,1,فِی,42.56,43.52,,native,100.0,nemo
56,12,2,جَنَّـٰتِ,43.92,44.64,,native,100.0,nemo
56,12,3,ٱلنَّعِیمِ,45.28,45.76,,native,100.0,nemo
56,13,1,ثُلَّةࣱ,46.32,46.4,,native,100.0,nemo
56,13,2,مِّنَ,46.8,47.6,,native,100.0,nemo
56,13,3,ٱلۡأَوَّلِینَ,48.24,49.04,,native,100.0,nemo
56,14,1,وَقَلِیلࣱ,49.44,49.52,,native,100.0,nemo
56,14,2,مِّنَ,49.92,50.88,,native,100.0,nemo
56,14,3,ٱلۡءَاخِرِینَ,51.6,51.68,,native,100.0,nemo
56,15,1,عَلَىٰ,52.0,52.64,,native,100.0,nemo
56,15,2,سُرُرࣲ,52.96,54.0,,native,100.0,nemo
56,15,3,مَّوۡضُونَةࣲ,54.32,55.36,,native,100.0,nemo
56,16,1,مُّتَّكِءِینَ,55.52,55.6,,native,100.0,nemo
56,16,2,عَلَیۡهَا,56.24,57.52,,native,100.0,nemo
56,16,3,مُتَقَـٰبِلِینَ,58.16,58.8,,native,100.0,nemo
56,17,1,یَطُوفُ,58.96,59.52,,native,100.0,nemo
56,17,2,عَلَیۡهِمۡ,59.6,60.16,,native,100.0,nemo
56,17,3,وِلۡدَ,60.4,60.48,,native,100.0,nemo
56,17,4,ٰنࣱ,60.8,62.0,,native,100.0,nemo
56,17,5,مُّخَلَّدُونَ,62.56,63.52,,native,100.0,nemo
56,18,1,بِأَكۡوَابࣲ,64.0,65.04,,native,100.0,nemo
56,18,2,وَأَبَارِیقَ,65.2,65.92,,native,100.0,nemo
56,18,3,وَكَأۡسࣲ,66.32,66.4,,native,100.0,nemo
56,18,4,مِّن,66.88,67.6,,native,100.0,nemo
56,18,5,مَّعِینࣲ,68.24,68.32,,native,100.0,nemo
56,19,1,لَّا,68.56,69.68,,native,100.0,nemo
56,19,2,یُصَدَّعُونَ,69.84,70.24,,native,100.0,nemo
56,19,3,عَنۡهَا,70.48,70.56,,native,100.0,nemo
56,19,4,وَلَا,70.96,72.16,,native,100.0,nemo
56,19,5,یُنزِفُونَ,73.04,74.16,,native,100.0,nemo
56,20,1,وَفَـٰكِهَةࣲ,74.32,74.88,,native,100.0,nemo
56,20,2,مِّمَّا,75.36,76.56,,native,100.0,nemo
56,20,3,یَتَخَیَّرُونَ,77.12,77.76,,native,100.0,nemo
56,21,1,وَلَحۡمِ,77.84,78.32,,native,100.0,nemo
56,21,2,طَیۡرࣲ,78.56,79.12,,native,100.0,nemo
56,21,3,مِّمَّا,79.6,80.56,,native,100.0,nemo
56,21,4,یَشۡتَهُونَ,81.04,81.68,,native,100.0,nemo
56,22,1,وَحُورٌ,82.0,82.4,,native,100.0,nemo
56,22,2,عِینࣱ,82.8,83.44,,native,100.0,nemo
56,23,1,كَأَمۡثَـٰلِ,83.84,84.56,,native,100.0,nemo
56,23,2,ٱللُّؤۡلُؤِ,84.72,85.6,,native,100.0,nemo
56,23,3,ٱلۡمَكۡنُونِ,86.16,87.44,,native,100.0,nemo
56,24,1,جَزَاۤءَۢ,88.16,88.24,,native,100.0,nemo
56,24,2,بِمَا,88.8,89.36,,native,100.0,nemo
56,24,3,كَانُوا۟,89.52,90.4,,native,100.0,nemo
56,24,4,یَعۡمَلُونَ,92.16,92.24,,native,100.0,nemo
56,25,1,لَا,92.56,93.36,,native,100.0,nemo
56,25,2,یَسۡمَعُونَ,93.52,93.6,,native,100.0,nemo
56,25,3,فِیهَا,94.08,94.64,,native,100.0,nemo
56,25,4,لَغۡوࣰا,94.96,95.04,,native,100.0,nemo
56,25,5,وَلَا,95.44,96.16,,native,100.0,nemo
56,25,6,تَأۡثِیمًا,96.8,96.88,,native,100.0,nemo
56,26,1,إِلَّا,97.44,97.92,,native,100.0,nemo
56,26,2,قِیلࣰا,98.56,99.36,,native,100.0,nemo
56,26,3,سَلَـٰمࣰا,99.68,100.48,,native,100.0,nemo
56,26,4,سَلَـٰمࣰا,101.92,102.8,,native,100.0,nemo
56,27,1,وَأَصۡحَـٰبُ,103.12,103.68,,native,100.0,nemo
56,27,2,ٱلۡیَمِینِ,103.84,103.92,,native,100.0,nemo
56,27,3,مَاۤ,104.24,104.96,,native,100.0,nemo
56,27,4,أَصۡحَـٰبُ,105.28,105.84,,native,100.0,nemo
56,27,5,ٱلۡیَمِینِ,106.4,106.48,,native,100.0,nemo
56,28,1,فِی,106.72,107.2,,native,100.0,nemo
56,28,2,سِدۡرࣲ,107.44,108.4,,native,100.0,nemo
56,28,3,مَّخۡضُودࣲ,108.8,109.52,,native,100.0,nemo
56,29,1,وَطَلۡحࣲ,109.92,111.04,,native,100.0,nemo
56,29,2,مَّنضُودࣲ,111.52,112.16,,native,100.0,nemo
56,30,1,وَظِلࣲّ,112.48,113.52,,native,100.0,nemo
56,30,2,مَّمۡدُودࣲ,114.0,115.2,,native,100.0,nemo
56,31,1,وَمَاۤءࣲ,115.68,116.64,,native,100.0,nemo
56,31,2,مَّسۡكُوبࣲ,117.12,118.16,,native,100.0,nemo
56,32,1,وَفَـٰكِهَةࣲ,118.56,119.36,,native,100.0,nemo
56,32,2,كَثِیرَةࣲ,119.6,119.68,,native,100.0,nemo
56,33,1,لَّا,119.92,120.96,,native,100.0,nemo
56,33,2,مَقۡطُوعَةࣲ,121.2,121.28,,native,100.0,nemo
56,33,3,وَلَا,121.6,122.56,,native,100.0,nemo
56,33,4,مَمۡنُوعَةࣲ,123.76,124.56,,native,100.0,nemo
56,34,1,وَفُرُشࣲ,124.88,125.92,,native,100.0,nemo
