surah,ayah,start_s,end_s,source
56,1,0.0,5.49,aligned
56,2,6.14,9.75,aligned
56,3,9.75,12.26,aligned
56,4,12.43,15.94,aligned
56,5,15.94,18.6,aligned
56,6,18.6,24.07,aligned
56,7,24.07,31.28,aligned
56,8,31.28,37.48,aligned
56,9,37.48,42.3,aligned
56,10,42.3,44.88,aligned
56,11,45.09,45.72,aligned
56,12,47.52,48.81,aligned
56,13,48.81,59.0,aligned
56,14,59.0,62.94,aligned
56,15,63.14,65.15,aligned
56,16,65.15,68.1,aligned
56,17,68.8,75.74,aligned
56,18,75.99,83.31,aligned
56,19,83.31,88.2,aligned
56,20,88.63,92.83,aligned
56,21,93.12,97.55,aligned
56,22,98.01,99.69,aligned
56,23,99.69,104.71,aligned
56,24,104.86,108.99,aligned
56,25,109.14,115.07,aligned
56,26,115.55,119.59,aligned
56,27,120.48,126.83,aligned
56,28,127.01,132.62,aligned
56,29,132.82,135.62,aligned
56,30,135.62,139.56,aligned
56,31,139.79,141.65,aligned
56,32,142.01,144.73,aligned
56,33,146.06,153.43,aligned
56,34,153.43,155.19,aligned
56,35,155.19,157.09,aligned
56,36,159.25,159.95,aligned
56,37,160.08,162.75,aligned
56,38,162.75,164.33,aligned
56,39,164.63,168.02,aligned
56,40,168.61,173.07,aligned
56,41,173.35,179.75,aligned
56,42,179.99,184.47,aligned
56,43,184.47,190.68,aligned
56,44,190.68,199.7,aligned
56,45,200.23,207.78,aligned
56,46,208.61,211.9,aligned
56,47,212.35,223.35,aligned
56,48,223.35,227.43,aligned
56,49,227.8,233.24,aligned
56,50,233.24,242.74,aligned
56,51,242.74,250.46,aligned
56,52,250.46,256.14,aligned
56,53,256.43,260.01,aligned
56,54,260.82,264.59,aligned
56,55,264.82,266.27,aligned
56,56,266.27,270.69,aligned
56,57,271.39,275.68,aligned
56,58,275.9,278.67,aligned
56,59,278.67,286.71,aligned
56,60,287.95,293.8,aligned
56,61,295.58,305.03,aligned
56,62,305.21,312.42,aligned
56,63,312.96,317.31,aligned
56,64,317.71,325.03,aligned
56,65,325.44,331.57,aligned
56,66,332.19,334.35,aligned
56,67,334.88,342.63,aligned
56,68,342.8,346.71,aligned
56,69,348.11,361.54,aligned
56,70,361.54,372.79,aligned
56,71,373.72,376.45,aligned
56,72,376.88,386.73,aligned
56,73,386.73,391.28,aligned
56,74,392.54,397.04,aligned
56,75,397.04,405.94,aligned
56,76,405.94,410.51,aligned
56,77,413.1,414.63,aligned
56,78,414.63,418.5,aligned
56,79,418.91,430.53,aligned
56,80,432.35,435.53,aligned
56,81,436.84,441.88,aligned
56,82,442.1,446.23,aligned
56,83,446.51,451.44,aligned
56,84,451.44,454.56,aligned
56,85,459.44,469.51,aligned
56,86,469.88,476.85,aligned
56,87,477.17,481.29,aligned
56,88,481.66,489.2,aligned
56,89,489.2,493.82,aligned
56,90,494.3,501.11,aligned
56,91,501.11,506.11,aligned
56,92,506.11,515.78,aligned
56,93,516.2,521.26,aligned
56,94,521.26,522.95,aligned
56,95,522.95,527.46,aligned
56,96,527.71,532.15,aligned
