surah,ayah,word_index_in_ayah,text,start_s,end_s,confidence,alignment_origin,match_score,engine_candidate
56,1,1,۞,0.0,1.74,,interpolated,,mfa
56,1,2,إِذَا,1.74,2.13,,native,100.0,mfa
56,1,3,وَقَعَتِ,3.18,4.64,,native,100.0,mfa
56,1,4,ٱلۡوَاقِعَةُ,4.64,5.49,,native,100.0,mfa
56,2,1,لَیۡسَ,6.14,6.78,,native,100.0,mfa
56,2,2,لِوَقۡعَتِهَا,6.78,7.69,,native,100.0,mfa
56,2,3,كَاذِبَةٌ,9.23,9.75,,native,100.0,mfa
56,3,1,خَافِضَةࣱ,9.75,10.95,,native,100.0,mfa
56,3,2,رَّافِعَةٌ,11.59,12.26,,native,100.0,mfa
56,4,1,إِذَا,12.43,12.95,,native,100.0,mfa
56,4,2,رُجَّتِ,12.95,13.12,,native,100.0,mfa
56,4,3,ٱلۡأَرۡضُ,13.31,13.65,,native,100.0,mfa
56,4,4,رَجࣰّا,14.66,15.94,,native,100.0,mfa
56,5,1,وَبُسَّتِ,15.94,16.87,,native,100.0,mfa
56,5,2,ٱلۡجِبَالُ,16.87,17.36,,native,100.0,mfa
56,5,3,بَسࣰّا,17.99,18.6,,native,100.0,mfa
56,6,1,فَكَانَتۡ,18.6,18.89,,native,100.0,mfa
56,6,2,هَبَاۤءࣰ,18.89,19.28,,native,100.0,mfa
56,6,3,مُّنۢبَثࣰّا,23.93,24.07,,native,100.0,mfa
56,7,1,وَكُنتُمۡ,24.07,24.33,,native,100.0,mfa
56,7,2,أَزۡوَ,25.89,26.11,,native,100.0,mfa
56,7,3,ٰجࣰا,29.0,29.32,,native,100.0,mfa
56,7,4,ثَلَـٰثَةࣰ,29.94,31.28,,native,100.0,mfa
56,8,1,فَأَصۡحَـٰبُ,31.28,31.98,,native,100.0,mfa
56,8,2,ٱلۡمَیۡمَنَةِ,32.54,33.11,,native,100.0,mfa
56,8,3,مَاۤ,33.68,34.65,,native,100.0,mfa
56,8,4,أَصۡحَـٰبُ,35.2,35.57,,native,100.0,mfa
56,8,5,ٱلۡمَیۡمَنَةِ,36.16,37.48,,native,100.0,mfa
56,9,1,وَأَصۡحَـٰبُ,37.48,39.14,,native,100.0,mfa
56,9,2,ٱلۡمَشۡءَمَةِ,39.34,39.72,,native,100.0,mfa
56,9,3,مَاۤ,39.72,40.27,,native,100.0,mfa
56,9,4,أَصۡحَـٰبُ,40.47,40.83,,native,100.0,mfa
56,9,5,ٱلۡمَشۡءَمَةِ,41.31,42.3,,native,100.0,mfa
