surah,ayah,word_index_in_ayah,text,start_s,end_s,confidence
107,1,1,أَرَءَیۡتَ,2.72,3.44,
107,1,2,ٱلَّذِی,3.6,4.08,
107,1,3,یُكَذِّبُ,4.24,4.48,
107,1,4,بِٱلدِّینِ,4.88,5.6,
107,2,1,فَذَ,6.0,6.24,
107,2,2,ٰلِكَ,6.56,6.64,
107,2,3,ٱلَّذِی,6.8,7.2,
107,2,4,یَدُعُّ,7.2,7.84,
107,2,5,ٱلۡیَتِیمَ,8.08,8.8,
107,3,1,وَلَا,9.36,9.44,
107,3,2,یَحُضُّ,9.6,10.32,
107,3,3,عَلَىٰ,10.56,10.64,
107,3,4,طَعَامِ,10.96,11.52,
107,3,5,ٱلۡمِسۡكِینِ,11.76,12.56,
107,4,1,فَوَیۡلࣱ,13.04,13.76,
107,4,2,لِّلۡمُصَلِّینَ,13.92,15.04,
107,5,1,ٱلَّذِینَ,15.28,15.76,
107,5,2,هُمۡ,15.92,16.16,
107,5,3,عَن,16.32,16.4,
107,5,4,صَلَاتِهِمۡ,16.96,17.84,
107,5,5,سَاهُونَ,18.08,18.96,
107,6,1,ٱلَّذِینَ,20.0,20.48,
107,6,2,هُمۡ,20.56,20.8,
107,6,3,یُرَاۤءُونَ,20.96,22.4,
107,7,1,وَیَمۡنَعُونَ,22.64,23.6,
107,7,2,ٱلۡمَاعُونَ,23.92,24.8,
