surah,ayah,word_index_in_ayah,text,start_s,end_s,confidence
1,1,1,بِسۡمِ,2.88,3.36,
1,1,2,ٱللَّهِ,3.44,3.52,
1,1,3,ٱلرَّحۡمَـٰنِ,4.16,4.24,
1,1,4,ٱلرَّحِیمِ,4.72,5.2,
1,2,1,ٱلۡحَمۡدُ,5.6,6.0,
1,2,2,لِلَّهِ,6.24,6.32,
1,2,3,رَبِّ,6.96,7.04,
1,2,4,ٱلۡعَـٰلَمِینَ,7.44,9.68,
1,3,1,ٱلرَّحۡمَـٰنِ,9.76,9.84,
1,3,2,ٱلرَّحِیمِ,10.08,10.8,
1,4,1,مَـٰلِكِ,12.16,12.8,
1,4,2,یَوۡمِ,12.8,13.28,
1,4,3,ٱلدِّینِ,13.6,14.08,
1,5,1,إِیَّاكَ,15.04,15.84,
1,5,2,نَعۡبُدُ,15.92,16.64,
1,5,3,وَإِیَّاكَ,16.88,17.84,
1,5,4,نَسۡتَعِینُ,18.08,19.2,
1,6,1,ٱهۡدِنَا,19.76,20.48,
1,6,2,ٱلصِّرَ,20.56,20.96,
1,6,3,ٰطَ,21.2,21.28,
1,6,4,ٱلۡمُسۡتَقِیمَ,21.6,22.56,
1,7,1,صِرَ,23.28,23.68,
1,7,2,ٰطَ,23.84,23.92,
1,7,3,ٱلَّذِینَ,24.16,24.64,
1,7,4,أَنۡعَمۡتَ,24.88,25.6,
1,7,5,عَلَیۡهِمۡ,25.84,26.4,
1,7,6,غَیۡرِ,26.96,27.36,
1,7,7,ٱلۡمَغۡضُوبِ,27.6,28.48,
1,7,8,عَلَیۡهِمۡ,28.64,29.2,
1,7,9,وَلَا,29.36,29.44,
1,7,10,ٱلضَّاۤلِّینَ,29.92,36.0,
