surah,ayah,word_index_in_ayah,text,start_s,end_s,confidence,alignment_origin,match_score,engine_candidate
2,48,1,وَٱتَّقُوا۟,0.64,1.52,,native,100.0,existing
2,48,2,یَوۡمࣰا,1.68,2.32,,native,100.0,existing
2,48,3,لَّا,2.4,2.48,,native,100.0,existing
2,48,4,تَجۡزِی,2.72,3.44,,native,100.0,existing
2,48,5,نَفۡسٌ,3.84,3.92,,native,100.0,existing
2,48,6,عَن,4.56,4.64,,native,100.0,existing
2,48,7,نَّفۡسࣲ,5.68,6.24,,native,100.0,existing
2,48,8,شَیۡءࣰا,6.96,7.76,,native,100.0,existing
2,48,9,وَلَا,8.48,8.56,,native,100.0,existing
2,48,10,یُقۡبَلُ,8.96,9.36,,native,100.0,existing
2,48,11,مِنۡهَا,9.92,10.32,,native,100.0,existing
2,48,12,شَفَـٰعَةࣱ,10.56,11.6,,native,100.0,existing
2,48,13,وَلَا,12.64,12.72,,native,100.0,existing
2,48,14,یُؤۡخَذُ,13.2,14.0,,native,100.0,existing
2,48,15,مِنۡهَا,14.24,14.64,,native,100.0,existing
2,48,16,عَدۡلࣱ,14.96,15.76,,native,100.0,existing
2,48,17,وَلَا,16.48,16.56,,native,100.0,existing
2,48,18,هُمۡ,17.04,17.28,,native,100.0,existing
2,48,19,یُنصَرُونَ,17.68,21.2,,native,100.0,existing
