surah,ayah,word_index_in_ayah,text,start_s,end_s,confidence,alignment_origin,match_score,engine_candidate
1,1,1,بِسۡمِ,7.637,8.006,,native,100.0,nemo
1,1,2,ٱللَّهِ,8.049,8.153,,native,100.0,nemo
1,1,3,ٱلرَّحۡمَـٰنِ,8.989,9.009,,native,100.0,nemo
1,1,4,ٱلرَّحِیمِ,9.873,9.936,,native,100.0,nemo
1,2,1,ٱلۡحَمۡدُ,13.196,13.538,,native,100.0,nemo
1,2,2,لِلَّهِ,13.828,13.848,,native,100.0,nemo
1,2,3,رَبِّ,14.596,14.646,,native,100.0,nemo
1,2,4,ٱلۡعَـٰلَمِینَ,15.19,16.953,,native,100.0,nemo
1,3,1,ٱلرَّحۡمَـٰنِ,19.001,19.021,,native,100.0,nemo
1,3,2,ٱلرَّحِیمِ,19.979,19.999,,native,100.0,nemo
1,4,1,مَـٰلِكِ,22.868,23.436,,native,100.0,nemo
1,4,2,یَوۡمِ,23.713,23.88,,native,100.0,nemo
1,4,3,ٱلدِّینِ,24.244,24.343,,native,100.0,nemo
1,5,1,إِیَّاكَ,27.662,28.393,,native,100.0,nemo
1,5,2,نَعۡبُدُ,28.521,29.082,,native,100.0,nemo
1,5,3,وَإِیَّاكَ,29.471,30.134,,native,100.0,nemo
1,5,4,نَسۡتَعِینُ,30.438,31.224,,native,100.0,nemo
1,6,1,ٱهۡدِنَا,33.768,34.517,,native,100.0,nemo
1,6,2,ٱلصِّرَ,34.591,34.766,,native,100.0,nemo
1,6,3,ٰطَ,35.131,35.151,,native,100.0,nemo
1,6,4,ٱلۡمُسۡتَقِیمَ,35.459,36.004,,native,100.0,nemo
1,7,1,صِرَ,39.533,39.846,,native,100.0,nemo
1,7,2,ٰطَ,40.185,40.205,,native,100.0,nemo
1,7,3,ٱلَّذِینَ,40.365,40.669,,native,100.0,nemo
1,7,4,أَنۡعَمۡتَ,41.156,41.861,,native,100.0,nemo
1,7,5,عَلَیۡهِمۡ,42.182,42.561,,native,100.0,nemo
1,7,6,غَیۡرِ,42.88,42.901,,native,100.0,nemo
1,7,7,ٱلۡمَغۡضُوبِ,43.405,44.301,,native,100.0,nemo
1,7,8,عَلَیۡهِمۡ,44.687,45.315,,native,100.0,nemo
1,7,9,وَلَا,45.421,45.441,,native,100.0,nemo
1,7,10,ٱلضَّاۤلِّینَ,46.118,50.093,,native,100.0,nemo
