surah,ayah,word_index_in_ayah,text,start_s,end_s,confidence,alignment_origin,match_score,engine_candidate
90,1,1,۞,7.52,7.6,,native,,existing
90,1,2,لَاۤ,9.84,10.4,,native,,existing
90,1,3,أُقۡسِمُ,10.96,11.04,,native,,existing
90,1,4,بِهَـٰذَا,11.92,12.48,,native,,existing
90,1,5,ٱلۡبَلَدِ,13.92,15.36,,native,,existing
90,2,1,وَأَنتَ,15.6,15.68,,native,,existing
90,2,2,حِلُّۢ,17.6,17.68,,native,,existing
90,2,3,بِهَـٰذَا,18.64,19.2,,native,,existing
90,2,4,ٱلۡبَلَدِ,20.56,21.76,,native,,existing
90,3,1,وَوَالِدࣲ,22.96,23.04,,native,,existing
90,3,2,وَمَا,23.6,24.16,,native,,existing
90,3,3,وَلَدَ,25.28,25.36,,native,,existing
90,4,1,لَقَدۡ,25.84,26.64,,native,,existing
90,4,2,خَلَقۡنَا,26.96,27.44,,native,,existing
90,4,3,ٱلۡإِنسَـٰنَ,28.08,28.8,,native,,existing
90,4,4,فِی,29.12,29.68,,native,,existing
90,4,5,كَبَدٍ,30.96,31.68,,native,,existing
90,5,1,أَیَحۡسَبُ,32.16,32.24,,native,,existing
90,5,2,أَن,32.56,32.64,,native,,existing
90,5,3,لَّن,33.68,34.08,,native,,existing
90,5,4,یَقۡدِرَ,34.8,35.44,,native,,existing
90,5,5,عَلَیۡهِ,35.6,35.92,,native,,existing
90,5,6,أَحَدࣱ,37.36,37.68,,native,,existing
90,6,1,یَقُولُ,38.24,39.12,,native,,existing
90,6,2,أَهۡلَكۡتُ,39.36,40.0,,native,,existing
90,6,3,مَالࣰا,40.16,40.8,,native,,existing
90,6,4,لُّبَدًا,40.88,43.12,,native,,existing
90,7,1,أَیَحۡسَبُ,43.52,43.6,,native,,existing
90,7,2,أَن,43.92,44.0,,native,,existing
90,7,3,لَّمۡ,44.08,44.88,,native,,existing
90,7,4,یَرَهُۥۤ,46.96,47.28,,native,,existing
90,7,5,أَحَدٌ,49.2,49.28,,native,,existing
90,8,1,أَلَمۡ,49.84,50.48,,native,,existing
90,8,2,نَجۡعَل,50.8,50.88,,native,,existing
90,8,3,لَّهُۥ,51.44,52.4,,native,,existing
90,8,4,عَیۡنَیۡنِ,54.96,56.08,,native,,existing
90,9,1,وَلِسَانࣰا,57.2,58.4,,native,,existing
90,9,2,وَشَفَتَیۡنِ,61.12,62.48,,native,,existing
90,10,1,وَهَدَیۡنَـٰهُ,63.52,64.72,,native,,existing
90,10,2,ٱلنَّجۡدَیۡنِ,66.96,67.04,,native,,existing
90,11,1,فَلَا,67.36,68.16,,native,,existing
90,11,2,ٱقۡتَحَمَ,68.48,69.28,,native,,existing
90,11,3,ٱلۡعَقَبَةَ,70.4,70.48,,native,,existing
90,12,1,وَمَاۤ,72.24,73.12,,native,,existing
90,12,2,أَدۡرَىٰكَ,73.36,73.44,,native,,existing
90,12,3,مَا,73.76,74.56,,native,,existing
90,12,4,ٱلۡعَقَبَةُ,75.76,76.24,,native,,existing
90,13,1,فَكُّ,76.56,77.28,,native,,existing
90,13,2,رَقَبَةٍ,78.48,78.56,,native,,existing
90,14,1,أَوۡ,78.8,79.6,,native,,existing
90,14,2,إِطۡعَـٰمࣱ,81.04,81.52,,native,,existing
90,14,3,فِی,81.92,82.24,,native,,existing
90,14,4,یَوۡمࣲ,82.96,83.28,,native,,existing
90,14,5,ذِی,83.6,84.72,,native,,existing
90,14,6,مَسۡغَبَةࣲ,84.72,86.56,,native,,existing
90,15,1,یَتِیمࣰا,87.76,88.08,,native,,existing
90,15,2,ذَا,88.32,89.28,,native,,existing
90,15,3,مَقۡرَبَةٍ,90.8,90.88,,native,,existing
90,16,1,أَوۡ,91.28,92.24,,native,,existing
90,16,2,مِسۡكِینࣰا,93.44,93.76,,native,,existing
90,16,3,ذَا,94.0,95.6,,native,,existing
90,16,4,مَتۡرَبَةࣲ,96.96,97.04,,native,,existing
90,17,1,ثُمَّ,98.48,98.56,,native,,existing
90,17,2,كَانَ,99.12,99.2,,native,,existing
90,17,3,مِنَ,99.68,101.28,,native,,existing
90,17,4,ٱلَّذِینَ,102.0,102.8,,native,,existing
90,17,5,ءَامَنُوا۟,103.12,104.24,,native,,existing
90,17,6,وَتَوَاصَوۡا۟,104.48,105.2,,native,,existing
90,17,7,بِٱلصَّبۡرِ,105.52,106.72,,native,,existing
90,17,8,وَتَوَاصَوۡا۟,106.88,108.24,,native,,existing
90,17,9,بِٱلۡمَرۡحَمَةِ,109.92,112.56,,native,,existing
90,18,1,أُو۟لَـٰۤئِكَ,112.88,113.68,,native,,existing
90,18,2,أَصۡحَـٰبُ,114.08,115.04,,native,,existing
90,18,3,ٱلۡمَیۡمَنَةِ,116.48,117.44,,native,,existing
90,19,1,وَٱلَّذِینَ,117.68,118.4,,native,,existing
90,19,2,كَفَرُوا۟,118.64,121.44,,native,,existing
90,19,3,بِءَایَـٰتِنَا,121.76,122.16,,native,,existing
90,19,4,هُمۡ,124.16,125.04,,native,,existing
90,19,5,أَصۡحَـٰبُ,125.36,126.32,,native,,existing
90,19,6,ٱلۡمَشۡءَمَةِ,127.76,128.56,,native,,existing
90,20,1,عَلَیۡهِمۡ,128.72,129.44,,native,,existing
90,20,2,نَارࣱ,130.24,131.2,,native,,existing
90,20,3,مُّؤۡصَدَةُۢ,132.262,133.875,,native,,existing
