surah,ayah,start_s,end_s,source
96,1,6.96,10.16,existing
96,2,11.76,15.36,existing
96,3,16.48,19.12,existing
96,4,20.64,23.28,existing
96,5,24.64,28.8,existing
96,6,30.48,38.0,existing
96,7,40.16,44.24,existing
96,8,46.08,49.68,existing
96,9,51.36,56.56,existing
96,10,57.84,59.84,existing
96,11,61.6,67.76,existing
96,12,69.2,71.04,existing
96,13,73.52,80.08,existing
96,14,81.6,87.12,existing
96,15,88.72,96.56,existing
96,16,97.84,102.48,existing
96,17,103.52,105.52,existing
96,18,106.48,108.8,existing
96,19,109.92,116.469,existing
