surah,ayah,start_s,end_s,source
87,1,2.72,5.84,existing
87,2,5.84,8.16,existing
87,3,8.24,10.56,existing
87,4,10.8,13.28,existing
87,5,13.44,16.8,existing
87,6,16.88,18.72,existing
87,7,19.2,26.0,existing
87,8,26.08,27.68,existing
87,9,28.08,31.12,existing
87,10,31.52,34.08,existing
87,11,34.16,35.28,existing
87,12,35.36,37.92,existing
87,13,38.48,41.6,existing
87,14,41.84,44.56,existing
87,15,44.8,46.96,existing
87,16,47.2,51.04,existing
87,17,51.2,54.56,existing
87,18,55.12,58.64,existing
87,19,58.8,62.586,existing
