surah,ayah,word_index_in_ayah,text,start_s,end_s,confidence,alignment_origin,match_score,engine_candidate
87,1,1,۞,0.08,0.64,,native,,existing
87,1,2,سَبِّحِ,0.8,0.96,,native,,existing
87,1,3,ٱسۡمَ,1.2,1.76,,native,,existing
87,1,4,رَبِّكَ,1.92,2.4,,native,,existing
87,1,5,ٱلۡأَعۡلَى,2.64,3.04,,native,,existing
87,2,1,ٱلَّذِی,3.12,3.2,,native,,existing
87,2,2,خَلَقَ,3.76,4.32,,native,,existing
87,2,3,فَسَوَّىٰ,4.8,5.36,,native,,existing
87,3,1,وَٱلَّذِی,5.52,6.16,,native,,existing
87,3,2,قَدَّرَ,6.32,6.88,,native,,existing
87,3,3,فَهَدَىٰ,7.76,8.4,,native,,existing
87,4,1,وَٱلَّذِیۤ,9.52,9.84,,native,,existing
87,4,2,أَخۡرَجَ,10.48,11.2,,native,,existing
87,4,3,ٱلۡمَرۡعَىٰ,11.6,12.48,,native,,existing
87,5,1,فَجَعَلَهُۥ,12.72,14.64,,native,,existing
87,5,2,غُثَاۤءً,15.04,15.52,,native,,existing
87,5,3,أَحۡوَىٰ,16.08,17.28,,native,,existing
87,6,1,سَنُقۡرِئُكَ,17.44,17.52,,native,,existing
87,6,2,فَلَا,18.0,19.12,,native,,existing
87,6,3,تَنسَىٰۤ,21.04,21.12,,native,,existing
87,7,1,إِلَّا,21.76,21.84,,native,,existing
87,7,2,مَا,22.16,23.6,,native,,existing
87,7,3,شَاۤءَ,24.0,24.08,,native,,existing
87,7,4,ٱللَّهُۚ,25.84,27.12,,native,,existing
87,7,5,إِنَّهُۥ,27.44,28.08,,native,,existing
87,7,6,یَعۡلَمُ,28.32,28.72,,native,,existing
87,7,7,ٱلۡجَهۡرَ,29.04,29.12,,native,,existing
87,7,8,وَمَا,29.2,30.0,,native,,existing
87,7,9,یَخۡفَىٰ,30.8,32.08,,native,,existing
87,8,1,وَنُیَسِّرُكَ,32.16,33.2,,native,,existing
87,8,2,لِلۡیُسۡرَىٰ,33.52,34.08,,native,,existing
87,9,1,فَذَكِّرۡ,34.56,34.64,,native,,existing
87,9,2,إِن,35.2,36.0,,native,,existing
87,9,3,نَّفَعَتِ,36.16,36.96,,native,,existing
87,9,4,ٱلذِّكۡرَىٰ,37.28,38.24,,native,,existing
87,10,1,سَیَذَّكَّرُ,38.64,38.72,,native,,existing
87,10,2,مَن,38.96,39.92,,native,,existing
87,10,3,یَخۡشَىٰ,40.48,42.16,,native,,existing
87,11,1,وَیَتَجَنَّبُهَا,42.4,42.88,,native,,existing
87,11,2,ٱلۡأَشۡقَى,43.2,43.76,,native,,existing
87,12,1,ٱلَّذِی,43.92,44.4,,native,,existing
87,12,2,یَصۡلَى,45.2,45.76,,native,,existing
87,12,3,ٱلنَّارَ,46.08,46.8,,native,,existing
87,12,4,ٱلۡكُبۡرَىٰ,47.44,47.52,,native,,existing
87,13,1,ثُمَّ,48.24,48.32,,native,,existing
87,13,2,لَا,48.4,49.2,,native,,existing
87,13,3,یَمُوتُ,49.28,49.92,,native,,existing
87,13,4,فِیهَا,50.16,50.24,,native,,existing
87,13,5,وَلَا,50.4,51.12,,native,,existing
87,13,6,یَحۡیَىٰ,51.76,51.84,,native,,existing
87,14,1,قَدۡ,52.16,52.8,,native,,existing
87,14,2,أَفۡلَحَ,52.96,53.04,,native,,existing
87,14,3,مَن,54.08,54.96,,native,,existing
87,14,4,تَزَكَّىٰ,55.36,55.92,,native,,existing
87,15,1,وَذَكَرَ,56.16,56.24,,native,,existing
87,15,2,ٱسۡمَ,56.64,57.2,,native,,existing
87,15,3,رَبِّهِۦ,57.36,58.24,,native,,existing
87,15,4,فَصَلَّىٰ,58.8,58.88,,native,,existing
87,16,1,بَلۡ,59.12,60.08,,native,,existing
87,16,2,تُؤۡثِرُونَ,60.4,61.12,,native,,existing
87,16,3,ٱلۡحَیَوٰةَ,61.36,62.16,,native,,existing
87,16,4,ٱلدُّنۡیَا,62.16,63.36,,native,,existing
87,17,1,وَٱلۡءَاخِرَةُ,63.52,64.16,,native,,existing
87,17,2,خَیۡرࣱ,64.88,65.68,,native,,existing
87,17,3,وَأَبۡقَىٰۤ,66.48,66.56,,native,,existing
87,18,1,إِنَّ,67.52,67.6,,native,,existing
87,18,2,هَـٰذَا,68.24,68.72,,native,,existing
87,18,3,لَفِی,68.8,69.52,,native,,existing
87,18,4,ٱلصُّحُفِ,69.76,70.48,,native,,existing
87,18,5,ٱلۡأُولَىٰ,71.12,71.76,,native,,existing
87,19,1,صُحُفِ,72.0,72.32,,native,,existing
87,19,2,إِبۡرَ,72.56,73.2,,native,,existing
87,19,3,ٰهِیمَ,73.6,74.88,,native,,existing
87,19,4,وَمُوسَىٰ,76.294,77.339,,native,,existing
