surah,ayah,start_s,end_s,source
96,1,0.08,2.8,existing
96,2,3.68,6.64,existing
96,3,6.96,9.44,existing
96,4,10.0,12.16,existing
96,5,12.56,15.84,existing
96,6,16.64,22.48,existing
96,7,22.88,24.64,existing
96,8,25.36,28.48,existing
96,9,28.96,31.2,existing
96,10,31.76,33.68,existing
96,11,34.16,37.36,existing
96,12,38.0,39.76,existing
96,13,40.32,43.76,existing
96,14,44.24,49.12,existing
96,15,49.76,55.68,existing
96,16,56.24,60.0,existing
96,17,60.32,62.16,existing
96,18,62.48,64.56,existing
96,19,65.04,69.973,existing
