surah,ayah,word_index_in_ayah,text,start_s,end_s,confidence,alignment_origin,match_score,engine_candidate
1,1,1,بِسۡمِ,7.6,8.08,,native,100.0,nemo
1,1,2,ٱللَّهِ,8.16,8.24,,native,100.0,nemo
1,1,3,ٱلرَّحۡمَـٰنِ,8.96,9.04,,native,100.0,nemo
1,1,4,ٱلرَّحِیمِ,9.92,10.0,,native,100.0,nemo
1,2,1,ٱلۡحَمۡدُ,13.12,13.52,,native,100.0,nemo
1,2,2,لِلَّهِ,13.76,13.84,,native,100.0,nemo
1,2,3,رَبِّ,14.48,14.56,,native,100.0,nemo
1,2,4,ٱلۡعَـٰلَمِینَ,15.12,16.96,,native,100.0,nemo
1,3,1,ٱلرَّحۡمَـٰنِ,18.96,19.04,,native,100.0,nemo
1,3,2,ٱلرَّحِیمِ,20.0,20.08,,native,100.0,nemo
1,4,1,مَـٰلِكِ,22.96,23.52,,native,100.0,nemo
1,4,2,یَوۡمِ,23.68,23.76,,native,100.0,nemo
1,4,3,ٱلدِّینِ,24.32,24.4,,native,100.0,nemo
1,5,1,إِیَّاكَ,27.68,28.4,,native,100.0,nemo
1,5,2,نَعۡبُدُ,28.56,29.2,,native,100.0,nemo
1,5,3,وَإِیَّاكَ,29.36,30.16,,native,100.0,nemo
1,5,4,نَسۡتَعِینُ,30.32,31.28,,native,100.0,nemo
1,6,1,ٱهۡدِنَا,33.68,34.4,,native,100.0,nemo
1,6,2,ٱلصِّرَ,34.56,34.88,,native,100.0,nemo
1,6,3,ٰطَ,35.04,35.12,,native,100.0,nemo
1,6,4,ٱلۡمُسۡتَقِیمَ,35.44,36.08,,native,100.0,nemo
1,7,1,صِرَ,39.52,39.92,,native,100.0,nemo
1,7,2,ٰطَ,40.16,40.24,,native,100.0,nemo
1,7,3,ٱلَّذِینَ,40.48,40.56,,native,100.0,nemo
1,7,4,أَنۡعَمۡتَ,41.12,41.84,,native,100.0,nemo
1,7,5,عَلَیۡهِمۡ,42.08,42.64,,native,100.0,nemo
1,7,6,غَیۡرِ,42.88,42.96,,native,100.0,nemo
1,7,7,ٱلۡمَغۡضُوبِ,43.52,44.4,,native,100.0,nemo
1,7,8,عَلَیۡهِمۡ,44.64,45.2,,native,100.0,nemo
1,7,9,وَلَا,45.44,45.52,,native,100.0,nemo
1,7,10,ٱلضَّاۤلِّینَ,46.08,50.16,,native,100.0,nemo
