surah,ayah,word_index_in_ayah,text,start_s,end_s,confidence,alignment_origin,match_score,engine_candidate
60,1,1,یَـٰۤأَیُّهَا,7.248,10.824,,native,100.0,nemo
60,1,2,ٱلَّذِینَ,10.824,10.844,,native,100.0,nemo
60,1,3,ءَامَنُوا۟,11.764,14.168,,native,100.0,nemo
60,1,4,لَا,14.351,14.396,,native,100.0,nemo
60,1,5,تَتَّخِذُوا۟,14.774,15.751,,native,100.0,nemo
60,1,6,عَدُوِّی,15.821,16.513,,native,100.0,nemo
60,1,7,وَعَدُوَّكُمۡ,16.903,17.909,,native,100.0,nemo
60,1,8,أَوۡلِیَاۤءَ,20.433,23.042,,native,100.0,nemo
60,1,9,تُلۡقُونَ,23.251,29.153,,native,100.0,nemo
60,1,10,إِلَیۡهِم,29.195,30.032,,native,100.0,nemo
60,1,11,بِٱلۡمَوَدَّةِ,30.867,31.992,,native,100.0,nemo
60,1,12,وَقَدۡ,32.358,32.394,,native,100.0,nemo
60,1,13,كَفَرُوا۟,32.72,33.3,,native,100.0,nemo
60,1,14,بِمَا,33.508,33.763,,native,100.0,nemo
60,1,15,جَاۤءَكُم,34.157,36.604,,native,100.0,nemo
60,1,16,مِّنَ,37.719,37.739,,native,100.0,nemo
60,1,17,ٱلۡحَقِّ,38.273,38.578,,native,100.0,nemo
60,1,18,یُخۡرِجُونَ,40.85,41.923,,native,100.0,nemo
60,1,19,ٱلرَّسُولَ,42.224,42.492,,native,100.0,nemo
60,1,20,وَإِیَّاكُمۡ,43.212,43.964,,native,100.0,nemo
60,1,21,أَن,46.56,46.772,,native,100.0,nemo
60,1,22,تُؤۡمِنُوا۟,47.612,48.532,,native,100.0,nemo
60,1,23,بِٱللَّهِ,48.532,48.742,,native,100.0,nemo
60,1,24,رَبِّكُمۡ,49.634,50.051,,native,100.0,nemo
60,1,25,إِن,58.704,58.999,,native,100.0,nemo
60,1,26,كُنتُمۡ,63.167,63.597,,native,100.0,nemo
60,1,27,خَرَجۡتُمۡ,64.889,65.749,,native,100.0,nemo
60,1,28,جِهَـٰدࣰا,65.749,66.375,,native,100.0,nemo
60,1,29,فِی,67.781,67.801,,native,100.0,nemo
60,1,30,سَبِیلِی,68.1,68.976,,native,100.0,nemo
60,1,31,وَٱبۡتِغَاۤءَ,69.222,71.716,,native,100.0,nemo
60,1,32,مَرۡضَاتِیۚ,71.889,73.004,,native,100.0,nemo
60,1,33,تُسِرُّونَ,75.019,76.181,,native,100.0,nemo
60,1,34,إِلَیۡهِم,76.181,77.017,,native,100.0,nemo
60,1,35,بِٱلۡمَوَدَّةِ,78.131,79.25,,native,100.0,nemo
60,1,36,وَأَنَا۠,79.588,79.88,,native,100.0,nemo
60,1,37,أَعۡلَمُ,82.07,82.322,,native,100.0,nemo
