surah,ayah,start_s,end_s,source
89,1,3.725,4.363,aligned
89,2,4.828,6.538,aligned
89,3,6.995,8.448,aligned
89,4,8.791,10.554,aligned
89,5,10.765,14.197,aligned
89,6,14.745,18.509,aligned
89,7,19.09,20.971,aligned
89,8,21.09,24.991,aligned
89,9,25.628,29.489,aligned
89,10,30.517,32.726,aligned
89,11,33.093,35.291,aligned
89,12,35.503,38.028,aligned
89,13,39.227,43.084,aligned
89,14,43.801,46.918,aligned
89,15,47.711,57.752,aligned
89,16,58.375,66.573,aligned
89,17,66.916,70.479,aligned
89,18,71.581,78.218,aligned
89,19,79.183,82.816,aligned
89,20,83.028,87.103,aligned
89,21,87.881,92.484,aligned
89,22,93.246,98.813,aligned
89,23,99.736,113.243,aligned
89,24,114.54,119.247,aligned
89,25,120.15,124.138,aligned
89,26,124.665,128.037,aligned
89,27,128.47,132.678,aligned
89,28,133.017,138.258,aligned
89,29,138.495,141.0,aligned
89,30,141.434,144.044,aligned
