surah,ayah,word_index_in_ayah,text,start_s,end_s,confidence,alignment_origin,match_score,engine_candidate
112,1,1,قُلۡ,4.322,4.371,,native,100.0,nemo
112,1,2,هُوَ,4.771,4.996,,native,100.0,nemo
112,1,3,ٱللَّهُ,5.378,5.471,,native,100.0,nemo
112,1,4,أَحَدٌ,6.226,6.482,,native,100.0,nemo
112,2,1,ٱللَّهُ,7.858,7.878,,native,100.0,nemo
112,2,2,ٱلصَّمَدُ,8.688,9.471,,native,100.0,nemo
112,3,1,لَمۡ,10.078,10.098,,native,100.0,nemo
112,3,2,یَلِدۡ,10.203,10.751,,native,100.0,nemo
112,3,3,وَلَمۡ,11.16,11.186,,native,100.0,nemo
112,3,4,یُولَدۡ,11.771,12.302,,native,100.0,nemo
112,4,1,وَلَمۡ,12.477,12.747,,native,100.0,nemo
112,4,2,یَكُن,13.081,13.901,,native,100.0,nemo
112,4,3,لَّهُۥ,13.901,14.156,,native,100.0,nemo
112,4,4,كُفُوًا,14.732,15.449,,native,100.0,nemo
112,4,5,أَحَدُۢ,15.753,16.057,,native,100.0,nemo
