surah,ayah,start_s,end_s,source
88,1,2.697,5.156,aligned
88,2,5.292,7.904,aligned
88,3,8.04,10.054,aligned
88,4,10.175,12.279,aligned
88,5,12.416,14.426,aligned
88,6,14.843,18.359,aligned
88,7,18.511,21.691,aligned
88,8,21.842,24.625,aligned
88,9,24.896,26.676,aligned
88,10,26.722,28.738,aligned
88,11,28.783,31.241,aligned
88,12,31.451,33.739,aligned
88,13,33.984,36.259,aligned
88,14,36.335,38.451,aligned
88,15,38.729,40.529,aligned
88,16,40.709,42.703,aligned
88,17,42.886,46.571,aligned
88,18,46.836,49.92,aligned
88,19,49.966,52.196,aligned
88,20,52.484,54.424,aligned
88,21,54.864,57.751,aligned
88,22,58.226,60.313,aligned
88,23,60.805,63.062,aligned
88,24,63.567,66.458,aligned
88,25,67.013,69.109,aligned
88,26,69.573,73.38,aligned
