surah,ayah,word_index_in_ayah,text,start_s,end_s,confidence,alignment_origin,match_score,engine_candidate
108,1,1,إِنَّاۤ,2.682,3.544,,native,100.0,nemo
108,1,2,أَعۡطَیۡنَـٰكَ,3.544,4.477,,native,100.0,nemo
108,1,3,ٱلۡكَوۡثَرَ,4.756,5.163,,native,100.0,nemo
108,2,1,فَصَلِّ,5.669,5.91,,native,100.0,nemo
108,2,2,لِرَبِّكَ,6.492,6.947,,native,100.0,nemo
108,2,3,وَٱنۡحَرۡ,7.009,7.77,,native,100.0,nemo
108,3,1,إِنَّ,8.285,8.305,,native,100.0,nemo
108,3,2,شَانِئَكَ,9.237,9.96,,native,100.0,nemo
108,3,3,هُوَ,10.13,10.149,,native,100.0,nemo
108,3,4,ٱلۡأَبۡتَرُ,10.546,11.473,,native,100.0,nemo
