surah,ayah,start_s,end_s,source
88,1,0.0,2.995,aligned
88,2,3.242,6.779,aligned
88,3,7.008,10.256,aligned
88,4,10.401,12.953,aligned
88,5,13.175,15.876,aligned
88,6,16.145,21.698,aligned
88,7,22.002,26.973,aligned
88,8,27.063,30.956,aligned
88,9,31.183,33.544,aligned
88,10,33.666,36.265,aligned
88,11,36.302,39.466,aligned
88,12,39.501,42.974,aligned
88,13,42.974,46.03,aligned
88,14,47.16,49.946,aligned
88,15,49.946,52.516,aligned
88,16,53.323,55.702,aligned
88,17,56.157,61.396,aligned
88,18,61.688,66.625,aligned
88,19,66.843,69.673,aligned
88,20,69.986,72.723,aligned
88,21,73.233,78.744,aligned
88,22,78.881,81.987,aligned
88,23,82.494,85.73,aligned
88,24,86.166,93.721,aligned
88,25,94.562,99.709,aligned
88,26,100.281,105.178,aligned
