surah,ayah,word_index_in_ayah,text,start_s,end_s,confidence,alignment_origin,match_score,engine_candidate
88,1,1,هَلۡ,0.0,0.041,,native,100.0,nemo
88,1,2,أَتَىٰكَ,0.518,0.922,,native,100.0,nemo
88,1,3,حَدِیثُ,1.148,1.313,,native,100.0,nemo
88,1,4,ٱلۡغَـٰشِیَةِ,2.026,2.995,,native,100.0,nemo
88,2,1,وُجُوهࣱ,3.242,3.896,,native,100.0,nemo
88,2,2,یَوۡمَئِذٍ,4.894,5.549,,native,100.0,nemo
88,2,3,خَـٰشِعَةٌ,5.923,6.779,,native,100.0,nemo
88,3,1,عَامِلَةࣱ,7.008,7.838,,native,100.0,nemo
88,3,2,نَّاصِبَةࣱ,8.846,10.036,,native,100.0,nemo
88,4,1,تَصۡلَىٰ,10.401,11.14,,native,100.0,nemo
88,4,2,نَارًا,11.14,11.857,,native,100.0,nemo
88,4,3,حَامِیَةࣰ,11.857,12.918,,native,100.0,nemo
88,5,1,تُسۡقَىٰ,13.175,13.564,,native,100.0,nemo
88,5,2,مِنۡ,13.959,14.194,,native,100.0,nemo
88,5,3,عَیۡنٍ,14.314,14.803,,native,100.0,nemo
88,5,4,ءَانِیَةࣲ,15.003,15.876,,native,100.0,nemo
88,6,1,لَّیۡسَ,16.145,16.213,,native,100.0,nemo
88,6,2,لَهُمۡ,16.831,16.851,,native,100.0,nemo
88,6,3,طَعَامٌ,17.313,17.957,,native,100.0,nemo
88,6,4,إِلَّا,18.266,18.286,,native,100.0,nemo
88,6,5,مِن,18.907,19.156,,native,100.0,nemo
88,6,6,ضَرِیعࣲ,20.006,21.345,,native,100.0,nemo
88,7,1,لَّا,22.002,22.055,,native,100.0,nemo
88,7,2,یُسۡمِنُ,22.381,22.991,,native,100.0,nemo
88,7,3,وَلَا,23.3,23.32,,native,100.0,nemo
88,7,4,یُغۡنِی,23.605,24.128,,native,100.0,nemo
88,7,5,مِن,24.497,24.517,,native,100.0,nemo
88,7,6,جُوعࣲ,25.046,26.281,,native,100.0,nemo
88,8,1,وُجُوهࣱ,27.063,27.816,,native,100.0,nemo
88,8,2,یَوۡمَئِذࣲ,28.673,29.629,,native,100.0,nemo
88,8,3,نَّاعِمَةࣱ,30.174,30.956,,native,100.0,nemo
88,9,1,لِّسَعۡیِهَا,31.183,32.196,,native,100.0,nemo
88,9,2,رَاضِیَةࣱ,32.345,33.235,,native,100.0,nemo
88,10,1,فِی,33.666,33.876,,native,100.0,nemo
88,10,2,جَنَّةٍ,34.018,34.772,,native,100.0,nemo
88,10,3,عَالِیَةࣲ,35.193,36.039,,native,100.0,nemo
88,11,1,لَّا,36.302,36.362,,native,100.0,nemo
88,11,2,تَسۡمَعُ,36.736,37.068,,native,100.0,nemo
88,11,3,فِیهَا,37.509,37.563,,native,100.0,nemo
88,11,4,لَـٰغِیَةࣰ,38.223,39.218,,native,100.0,nemo
88,12,1,فِیهَا,39.501,39.56,,native,100.0,nemo
88,12,2,عَیۡنࣱ,40.342,40.637,,native,100.0,nemo
88,12,3,جَارِیَةࣱ,41.797,42.672,,native,100.0,nemo
88,13,1,فِیهَا,42.974,43.004,,native,100.0,nemo
88,13,2,سُرُرࣱ,43.772,44.361,,native,100.0,nemo
88,13,3,مَّرۡفُوعَةࣱ,44.773,45.72,,native,100.0,nemo
88,14,1,وَأَكۡوَابࣱ,47.16,47.944,,native,100.0,nemo
88,14,2,مَّوۡضُوعَةࣱ,48.67,49.65,,native,100.0,nemo
88,15,1,وَنَمَارِقُ,49.946,51.029,,native,100.0,nemo
88,15,2,مَصۡفُوفَةࣱ,51.19,52.141,,native,100.0,nemo
88,16,1,وَزَرَابِیُّ,53.323,54.058,,native,100.0,nemo
88,16,2,مَبۡثُوثَةٌ,54.76,55.702,,native,100.0,nemo
88,17,1,أَفَلَا,56.157,56.634,,native,100.0,nemo
88,17,2,یَنظُرُونَ,57.231,58.637,,native,100.0,nemo
88,17,3,إِلَى,58.86,59.267,,native,100.0,nemo
88,17,4,ٱلۡإِبِلِ,59.407,60.017,,native,100.0,nemo
88,17,5,كَیۡفَ,60.017,60.043,,native,100.0,nemo
88,17,6,خُلِقَتۡ,60.588,61.396,,native,100.0,nemo
88,18,1,وَإِلَى,61.688,62.342,,native,100.0,nemo
88,18,2,ٱلسَّمَاۤءِ,62.426,65.145,,native,100.0,nemo
88,18,3,كَیۡفَ,65.322,65.342,,native,100.0,nemo
88,18,4,رُفِعَتۡ,65.731,66.625,,native,100.0,nemo
88,19,1,وَإِلَى,66.843,67.294,,native,100.0,nemo
88,19,2,ٱلۡجِبَالِ,67.601,68.199,,native,100.0,nemo
88,19,3,كَیۡفَ,68.364,68.384,,native,100.0,nemo
88,19,4,نُصِبَتۡ,68.963,69.673,,native,100.0,nemo
88,20,1,وَإِلَى,69.986,70.76,,native,100.0,nemo
