surah,ayah,start_s,end_s,source
87,1,0.08,3.04,aligned
87,2,3.12,5.36,aligned
87,3,5.52,8.4,aligned
87,4,9.52,12.48,aligned
87,5,12.72,17.28,aligned
87,6,17.44,21.12,aligned
87,7,21.76,32.08,aligned
87,8,32.16,34.08,aligned
87,9,34.56,38.24,aligned
87,10,38.64,42.16,aligned
87,11,42.4,43.76,aligned
87,12,43.92,47.52,aligned
87,13,48.24,51.84,aligned
87,14,52.16,55.92,aligned
87,15,56.16,58.88,aligned
87,16,59.12,63.36,aligned
87,17,63.52,66.56,aligned
87,18,67.52,71.76,aligned
87,19,72.0,77.339,aligned
