surah,ayah,start_s,end_s,source
90,1,0.24,6.4,aligned
90,2,6.72,11.12,aligned
90,3,11.92,13.52,aligned
90,4,13.92,18.96,aligned
90,5,19.36,23.6,aligned
90,6,24.0,27.36,aligned
90,7,27.76,31.52,aligned
90,8,31.92,36.08,aligned
90,9,36.64,39.84,aligned
90,10,40.48,42.88,aligned
90,11,43.2,45.68,aligned
90,12,47.52,50.48,aligned
90,13,50.8,52.0,aligned
90,14,52.24,58.32,aligned
90,15,58.64,60.48,aligned
90,16,60.8,64.32,aligned
90,17,64.88,74.08,aligned
90,18,74.32,77.68,aligned
90,19,77.84,84.0,aligned
90,20,84.24,88.727,aligned
