surah,ayah,word_index_in_ayah,text,start_s,end_s,confidence
104,1,1,وَیۡلࣱ,0.24,0.88,
104,1,2,لِّكُلِّ,0.96,1.52,
104,1,3,هُمَزَةࣲ,1.76,2.56,
104,1,4,لُّمَزَةٍ,2.72,3.52,
104,2,1,ٱلَّذِی,4.16,4.56,
104,2,2,جَمَعَ,4.8,5.12,
104,2,3,مَالࣰا,5.52,6.08,
104,2,4,وَعَدَّدَهُۥ,7.36,8.48,
104,3,1,یَحۡسَبُ,8.96,9.44,
104,3,2,أَنَّ,9.84,9.92,
104,3,3,مَالَهُۥۤ,10.48,11.2,
104,3,4,أَخۡلَدَهُۥ,12.8,13.76,
104,4,1,كَلَّاۖ,14.16,14.64,
104,4,2,لَیُنۢبَذَنَّ,14.88,16.64,
104,4,3,فِی,17.68,17.92,
104,4,4,ٱلۡحُطَمَةِ,18.08,18.72,
104,5,1,وَمَاۤ,19.44,19.52,
104,5,2,أَدۡرَىٰكَ,22.72,23.76,
104,5,3,مَا,23.92,24.0,
104,5,4,ٱلۡحُطَمَةُ,24.32,24.96,
104,6,1,نَارُ,25.6,26.08,
104,6,2,ٱللَّهِ,26.48,26.56,
104,6,3,ٱلۡمُوقَدَةُ,27.2,28.32,
104,7,1,ٱلَّتِی,29.04,29.2,
104,7,2,تَطَّلِعُ,29.76,30.72,
104,7,3,عَلَى,30.88,30.96,
104,7,4,ٱلۡأَفۡءِدَةِ,31.36,32.16,
104,8,1,إِنَّهَا,32.8,33.6,
104,8,2,عَلَیۡهِم,34.0,34.64,
104,8,3,مُّؤۡصَدَةࣱ,35.6,36.88,
104,9,1,فِی,37.12,37.44,
104,9,2,عَمَدࣲ,37.6,38.32,
104,9,3,مُّمَدَّدَةِۭ,39.12,40.16,
