surah,ayah,word_index_in_ayah,text,start_s,end_s,confidence
1,1,1,بِسۡمِ,0.48,0.96,
1,1,2,ٱللَّهِ,0.96,1.12,
1,1,3,ٱلرَّحۡمَـٰنِ,1.76,1.84,
1,1,4,ٱلرَّحِیمِ,2.48,3.28,
1,2,1,ٱلۡحَمۡدُ,3.6,3.92,
1,2,2,لِلَّهِ,4.16,4.24,
1,2,3,رَبِّ,4.8,4.88,
1,2,4,ٱلۡعَـٰلَمِینَ,5.44,10.4,
1,3,1,ٱلرَّحۡمَـٰنِ,10.4,10.48,
1,3,2,ٱلرَّحِیمِ,11.2,12.08,
1,4,1,مَـٰلِكِ,16.32,16.88,
1,4,2,یَوۡمِ,16.88,17.44,
1,4,3,ٱلدِّینِ,17.68,19.84,
1,5,1,إِیَّاكَ,22.48,23.2,
1,5,2,نَعۡبُدُ,23.28,23.92,
1,5,3,وَإِیَّاكَ,24.08,24.8,
1,5,4,نَسۡتَعِینُ,24.96,29.44,
1,6,1,ٱهۡدِنَا,29.6,30.16,
1,6,2,ٱلصِّرَ,30.32,30.64,
1,6,3,ٰطَ,30.8,30.88,
1,6,4,ٱلۡمُسۡتَقِیمَ,31.2,32.0,
1,7,1,صِرَ,32.24,32.56,
1,7,2,ٰطَ,32.72,32.8,
1,7,3,ٱلَّذِینَ,33.04,33.44,
1,7,4,أَنۡعَمۡتَ,33.68,34.32,
1,7,5,عَلَیۡهِمۡ,34.72,35.36,
1,7,6,غَیۡرِ,35.36,36.64,
1,7,7,ٱلۡمَغۡضُوبِ,37.12,38.0,
1,7,8,عَلَیۡهِمۡ,38.16,38.8,
1,7,9,وَلَا,38.96,39.04,
1,7,10,ٱلضَّاۤلِّینَ,39.52,48.0,
