surah,ayah,word_index_in_ayah,text,start_s,end_s,confidence
19,1,1,كۤهیعۤصۤ,3.52,11.68,
19,2,1,ذِكۡرُ,16.16,16.24,
19,2,2,رَحۡمَتِ,16.72,17.04,
19,2,3,رَبِّكَ,17.2,17.76,
19,2,4,عَبۡدَهُۥ,17.92,18.56,
19,2,5,زَكَرِیَّاۤ,18.8,19.76,
19,3,1,إِذۡ,20.32,20.64,
19,3,2,نَادَىٰ,20.8,21.36,
19,3,3,رَبَّهُۥ,21.52,22.08,
19,3,4,نِدَاۤءً,22.32,25.04,
19,3,5,خَفِیࣰّا,25.44,26.24,
19,4,1,قَالَ,26.88,26.96,
19,4,2,رَبِّ,27.36,27.44,
19,4,3,إِنِّی,27.92,28.72,
19,4,4,وَهَنَ,28.88,29.44,
19,4,5,ٱلۡعَظۡمُ,29.68,30.0,
19,4,6,مِنِّی,30.4,31.36,
19,4,7,وَٱشۡتَعَلَ,31.52,32.24,
19,4,8,ٱلرَّأۡسُ,32.56,33.12,
19,4,9,شَیۡبࣰا,33.28,34.88,
19,4,10,وَلَمۡ,37.2,37.28,
19,4,11,أَكُنۢ,37.76,38.4,
19,4,12,بِدُعَاۤئِكَ,39.2,41.44,
19,4,13,رَبِّ,41.6,41.68,
19,4,14,شَقِیࣰّا,42.24,43.04,
19,5,1,وَإِنِّی,43.68,44.56,
19,5,2,خِفۡتُ,44.72,45.04,
19,5,3,ٱلۡمَوَ,45.44,45.76,
19,5,4,ٰلِیَ,46.0,46.24,
19,5,5,مِن,46.4,46.48,
19,5,6,وَرَاۤءِی,46.88,48.48,
19,5,7,وَكَانَتِ,48.8,49.6,
19,5,8,ٱمۡرَأَتِی,49.68,50.56,
19,5,9,عَاقِرࣰا,50.72,52.56,
19,5,10,فَهَبۡ,52.72,56.08,
19,5,11,لِی,56.24,56.48,
19,5,12,مِن,56.56,56.64,
19,5,13,لَّدُنكَ,56.8,58.24,
19,5,14,وَلِیࣰّا,58.48,59.28,
19,6,1,یَرِثُنِی,59.28,60.8,
19,6,2,وَیَرِثُ,60.96,61.6,
19,6,3,مِنۡ,61.6,61.68,
19,6,4,ءَالِ,61.76,62.4,
19,6,5,یَعۡقُوبَۖ,62.4,63.28,
19,6,6,وَٱجۡعَلۡهُ,63.52,64.32,
19,6,7,رَبِّ,64.48,64.56,
19,6,8,رَضِیࣰّا,65.04,65.76,
19,7,1,یَـٰزَكَرِیَّاۤ,65.76,67.84,
19,7,2,إِنَّا,69.76,70.72,
19,7,3,نُبَشِّرُكَ,70.96,72.16,
19,7,4,بِغُلَـٰمٍ,72.24,73.04,
19,7,5,ٱسۡمُهُۥ,73.36,74.0,
19,7,6,یَحۡیَىٰ,74.24,74.8,
19,7,7,لَمۡ,75.04,75.12,
19,7,8,نَجۡعَل,75.36,75.92,
19,7,9,لَّهُۥ,76.24,76.32,
19,7,10,مِن,76.88,76.96,
19,7,11,قَبۡلُ,77.84,77.92,
19,7,12,سَمِیࣰّا,78.64,79.44,
19,8,1,قَالَ,80.0,80.08,
19,8,2,رَبِّ,80.56,80.64,
19,8,3,أَنَّىٰ,81.12,81.92,
19,8,4,یَكُونُ,82.08,82.64,
19,8,5,لِی,82.88,83.12,
19,8,6,غُلَـٰمࣱ,83.2,84.08,
19,8,7,وَكَانَتِ,84.56,85.44,
19,8,8,ٱمۡرَأَتِی,85.52,86.4,
19,8,9,عَاقِرࣰا,86.56,90.8,
19,8,10,وَقَدۡ,91.52,91.6,
19,8,11,بَلَغۡتُ,92.16,92.88,
19,8,12,مِنَ,93.04,93.12,
19,8,13,ٱلۡكِبَرِ,93.44,93.84,
19,8,14,عِتِیࣰّا,94.16,95.04,
19,9,1,قَالَ,95.68,95.76,
19,9,2,كَذَ,96.24,96.56,
19,9,3,ٰلِكَ,96.96,97.04,
19,9,4,قَالَ,97.28,97.36,
19,9,5,رَبُّكَ,97.84,98.48,
19,9,6,هُوَ,98.56,98.64,
19,9,7,عَلَیَّ,99.04,99.6,
19,9,8,هَیِّنࣱ,99.68,100.48,
19,9,9,وَقَدۡ,100.8,100.88,
19,9,10,خَلَقۡتُكَ,101.36,102.4,
19,9,11,مِن,102.56,102.64,
19,9,12,قَبۡلُ,103.68,103.76,
19,9,13,وَلَمۡ,104.48,104.56,
19,9,14,تَكُ,105.04,105.28,
19,9,15,شَیۡءࣰا,105.6,106.24,
19,10,1,قَالَ,106.72,106.8,
19,10,2,رَبِّ,107.28,107.36,
19,10,3,ٱجۡعَل,107.76,108.16,
19,10,4,لِّیۤ,108.48,108.72,
19,10,5,ءَایَةࣰۖ,110.24,110.96,
19,10,6,قَالَ,111.44,111.52,
19,10,7,ءَایَتُكَ,111.92,112.8,
19,10,8,أَلَّا,112.88,112.96,
19,10,9,تُكَلِّمَ,113.52,113.92,
19,10,10,ٱلنَّاسَ,114.88,114.96,
19,10,11,ثَلَـٰثَ,115.6,116.24,
19,10,12,لَیَالࣲ,116.4,117.2,
19,10,13,سَوِیࣰّا,118.48,119.36,
19,11,1,فَخَرَجَ,119.92,120.48,
19,11,2,عَلَىٰ,120.88,120.96,
19,11,3,قَوۡمِهِۦ,121.28,122.08,
19,11,4,مِنَ,122.32,122.4,
19,11,5,ٱلۡمِحۡرَابِ,122.72,123.52,
19,11,6,فَأَوۡحَىٰۤ,123.76,124.72,
19,11,7,إِلَیۡهِمۡ,125.68,126.48,
19,11,8,أَن,126.72,126.8,
19,11,9,سَبِّحُوا۟,127.76,128.72,
19,11,10,بُكۡرَةࣰ,128.88,129.84,
19,11,11,وَعَشِیࣰّا,130.48,131.6,
19,12,1,یَـٰیَحۡیَىٰ,132.24,133.12,
19,12,2,خُذِ,133.36,133.76,
19,12,3,ٱلۡكِتَـٰبَ,134.0,134.56,
19,12,4,بِقُوَّةࣲۖ,134.8,135.68,
19,12,5,وَءَاتَیۡنَـٰهُ,136.08,137.36,
19,12,6,ٱلۡحُكۡمَ,137.6,138.0,
19,12,7,صَبِیࣰّا,138.4,139.12,
19,13,1,وَحَنَانࣰا,139.68,140.88,
19,13,2,مِّن,141.04,141.12,
19,13,3,لَّدُنَّا,141.44,142.64,
19,13,4,وَزَكَوٰةࣰۖ,142.96,144.72,
19,13,5,وَكَانَ,144.88,144.96,
19,13,6,تَقِیࣰّا,145.44,146.24,
19,14,1,وَبَرَّۢا,146.88,147.76,
19,14,2,بِوَ,148.48,148.88,
19,14,3,ٰلِدَیۡهِ,149.12,149.76,
19,14,4,وَلَمۡ,150.0,150.08,
19,14,5,یَكُن,150.32,151.2,
19,14,6,جَبَّارًا,151.76,152.8,
19,14,7,عَصِیࣰّا,152.96,153.84,
19,15,1,وَسَلَـٰمٌ,154.32,154.4,
19,15,2,عَلَیۡهِ,154.56,155.36,
19,15,3,یَوۡمَ,155.52,156.48,
19,15,4,وُلِدَ,156.72,157.28,
19,15,5,وَیَوۡمَ,157.52,157.92,
19,15,6,یَمُوتُ,158.0,158.8,
19,15,7,وَیَوۡمَ,158.96,159.44,
19,15,8,یُبۡعَثُ,159.52,160.48,
19,15,9,حَیࣰّا,160.64,161.28,
19,16,1,وَٱذۡكُرۡ,161.84,162.32,
19,16,2,فِی,162.72,163.04,
19,16,3,ٱلۡكِتَـٰبِ,163.04,163.6,
19,16,4,مَرۡیَمَ,163.84,164.4,
19,16,5,إِذِ,164.56,164.88,
19,16,6,ٱنتَبَذَتۡ,165.12,166.8,
19,16,7,مِنۡ,167.04,167.12,
19,16,8,أَهۡلِهَا,167.28,168.08,
19,16,9,مَكَانࣰا,168.24,169.12,
19,16,10,شَرۡقِیࣰّا,170.32,171.28,
19,17,1,فَٱتَّخَذَتۡ,172.0,173.04,
19,17,2,مِن,173.28,173.36,
19,17,3,دُونِهِمۡ,174.08,174.8,
19,17,4,حِجَابࣰا,175.04,176.0,
19,17,5,فَأَرۡسَلۡنَاۤ,176.48,177.52,
19,17,6,إِلَیۡهَا,177.52,179.6,
19,17,7,رُوحَنَا,179.84,180.64,
19,17,8,فَتَمَثَّلَ,180.8,181.52,
19,17,9,لَهَا,182.0,182.08,
19,17,10,بَشَرࣰا,182.48,183.28,
