surah,ayah,word_index_in_ayah,text,start_s,end_s,confidence
106,1,1,لِإِیلَـٰفِ,0.16,0.96,
106,1,2,قُرَیۡشٍ,1.12,2.0,
106,2,1,إِۦلَـٰفِهِمۡ,3.12,3.44,
106,2,2,رِحۡلَةَ,4.16,4.56,
106,2,3,ٱلشِّتَاۤءِ,4.72,6.96,
106,2,4,وَٱلصَّیۡفِ,7.2,8.08,
106,3,1,فَلۡیَعۡبُدُوا۟,8.56,9.76,
106,3,2,رَبَّ,9.84,9.92,
106,3,3,هَـٰذَا,10.24,10.32,
106,3,4,ٱلۡبَیۡتِ,10.4,10.88,
106,4,1,ٱلَّذِیۤ,11.04,12.32,
106,4,2,أَطۡعَمَهُم,13.36,14.32,
106,4,3,مِّن,14.64,14.72,
106,4,4,جُوعࣲ,15.44,16.16,
106,4,5,وَءَامَنَهُم,16.56,17.68,
106,4,6,مِّنۡ,18.0,18.08,
106,4,7,خَوۡفِۭ,18.56,19.28,
